# mntjulip DSA
GeneName	GroupID	FeatureID	FeatureType	FeatureLabel	strand	p-value	q-value	log2FoldChange	ReadCount1	ReadCount2	PSI	avg_read_counts(0)	avg_read_counts(1)
AGRN	J000018	J000018	intron	chr1:1022462-1035277	+	0.999584	1	-0.0111631	1032.341164,1032.098298,1032.349681,1032.281533,1036.442547,1030.277834,1028.985258,1028.809501,1028.96383,1028.959544	.	.	1033.102645	1029.199193
AGRN	J000019	J000019	intron	chr1:1035324-1040665	+	1	1	-0.026228	1037.124928,1036.744846,1036.964514,1036.846253,1037.392166,1028.049121,1025.5075,1025.343588,1025.283174,1025.330644	.	.	1037.014541	1025.902805
AGRN	J000020	J000020	intron	chr1:1040880-1041173	+	0.999605	1	0.0115255	1051.640135,1051.800453,1051.46738,1051.693585,1050.983817,1058.371438,1058.48996,1058.335645,1058.270645,1058.331583	.	.	1051.517074	1058.359854
AGRN	J000021	J000021	intron	chr1:1041397-1041478	+	1	1	0.0221136	1034.084585,1034.050623,1033.800024,1033.957207,1035.990264,1048.359592,1050.89985,1050.854565,1050.780446,1050.862799	.	.	1034.376541	1050.35145
AGRN	J000022	J000022	intron	chr1:1041702-1041956	+	0.990718	1	-0.0422888	1060.853501,1061.10822,1060.87777,1061.039509,1060.631742,1030.645962,1030.620079,1030.466253,1030.543177,1030.521811	.	.	1060.902148	1030.559456
AGRN	J000023	J000023	intron	chr1:1042162-1043239	+	0.998704	1	-0.00342174	1035.667063,1035.455356,1035.468063,1035.5824,1037.37237,1025.814673,1028.468086,1028.609641,1028.691108,1028.613929	.	.	1035.90905	1028.039487
AGRN	J000024	J000024	intron	chr1:1043457-1043538	+	0.995733	1	0.0284178	1035.234574,1035.166939,1035.073913,1035.0866,1036.319088,1073.483467,1072.43001,1072.548816,1072.394358,1072.374549	.	.	1035.376223	1072.64624
AGRN	J000025	J000025	intron	chr1:1043732-1043823	+	1	1	-0.0164444	1024.455483,1024.623982,1024.373355,1024.477091,1022.386736,1015.271202,1014.265704,1014.309754,1014.322967,1014.450665	.	.	1024.063329	1014.524058
AGRN	J000026	J000026	intron	chr1:1044023-1044109	+	0.990704	1	-0.0453452	1053.650348,1053.724081,1053.724081,1053.42083,1058.413165,1023.88791,1023.808015,1023.825326,1023.9681,1024.015674	.	.	1054.586501	1023.901005
AGRN	J000027	J000027	intron	chr1:1044257-1044334	+	1	1	0.0488564	995.045081,995.241452,995.118167,995.099897,995.489292,1033.547234,1032.970676,1033.064279,1033.459607,1033.115321	.	.	995.198778	1033.231423
AGRN	J000028	J000028	intron	chr1:1044439-1045161	+	0.99646	1	-0.0210196	1045.843647,1045.623386,1045.689899,1045.905953,1043.459394,1028.11583,1028.756055,1028.794639,1029.047445,1028.593082	.	.	1045.304456	1028.66141
AGRN	J000029	J000029	intron	chr1:1045277-1045359	+	1	1	0.0344893	1039.893251,1039.952043,1039.729404,1039.943645,1045.195903,1083.118589,1082.673744,1082.499633,1082.778159,1082.731757	.	.	1040.942849	1082.760376
AGRN	J000030	J000030	intron	chr1:1045523-1045733	+	1	1	0.0119224	1050.307145,1050.546098,1050.504914,1050.228822,1046.009253,1050.988887,1051.464959,1051.349778,1051.456733,1051.608866	.	.	1049.519246	1051.373845
AGRN	J000031	J000031	intron	chr1:1045876-1045964	+	0.951311	1	-0.0644325	1095.098425,1095.029914,1095.155504,1095.071783,1095.373287,1047.788043,1047.854309,1047.821189,1047.841889,1047.924675	.	.	1095.145783	1047.846021
AGRN	J000032	J000032	intron	chr1:1046088-1046160	+	1	1	0.0009659	1051.709583,1051.606801,1051.861629,1051.623249,1047.57038,1044.447562,1043.478909,1043.59156,1043.316107,1043.516464	.	.	1050.874328	1043.67012
AGRN	J000033	J000033	intron	chr1:1046265-1046397	+	1	1	0.00661736	1019.74127,1019.331417,1019.545142,1019.296506,1014.55029,1015.277345,1015.075878,1015.409965,1014.935084,1015.168233	.	.	1018.492925	1015.173301
AGRN	J000034	J000034	intron	chr1:1046735-1046820	+	0.968948	1	0.0532627	1010.024393,1010.552468,1010.410568,1010.237525,1008.89717,1048.30227,1048.028254,1048.193747,1048.024116,1047.970308	.	.	1010.024425	1048.103739
AGRN	J000035	J000035	intron	chr1:1046957-1047327	+	0.997143	1	0.0152767	1038.663517,1038.735076,1038.659307,1038.655097,1037.949632,1051.191251,1050.993371,1050.853415,1050.828709,1050.799883	.	.	1038.532526	1050.933326
AGRN	J000036	J000036	intron	chr1:1047454-1047573	+	0.965597	1	-0.0599018	1051.973477,1052.03922,1051.998132,1052.055654,1052.400287,1014.469401,1013.96109,1013.771561,1013.811241,1013.533357	.	.	1052.093354	1013.90933
AGRN	J000037	J000037	intron	chr1:1047687-1047776	+	0.998495	1	0.0233397	1029.872784,1030.103779,1029.996861,1030.078122,1030.0064,1047.435289,1047.277511,1047.269223,1047.219488,1047.136575	.	.	1030.011589	1047.267617
AGRN	J000038	J000038	intron	chr1:1047895-1048012	+	0.98646	1	-0.0484309	1057.835491,1057.807031,1057.941173,1057.725701,1057.680041,1024.168214,1024.042578,1024.016628,1023.947415,1023.977698	.	.	1057.797887	1024.030507
AGRN	J000039	J000039	intron	chr1:1048365-1048867	+	0.999212	1	0.0193528	1027.225067,1027.186371,1027.272354,1027.113264,1027.106192,1040.886847,1040.949416,1040.936839,1040.974567,1040.899106	.	.	1027.18065	1040.929355
AGRN	J000040	J000040	intron	chr1:1049059-1049236	+	0.998712	1	-0.0146558	1030.869702,1030.741566,1030.84408,1030.780013,1030.436052,1021.631196,1021.350359,1021.172083,1021.419898,1021.154683	.	.	1030.734283	1021.345644
AGRN	J000041	J000041	intron	chr1:1049451-1049566	+	1	1	0.000781843	1032.000192,1032.038548,1032.08968,1032.034286,1032.542732,1034.159846,1034.265341,1033.866201,1034.142265,1034.150755	.	.	1032.141088	1034.116882
AGRN	J000042	J000042	intron	chr1:1049795-1049903	+	0.999532	1	-0.0114366	1061.961842,1061.663184,1061.808517,1061.602606,1056.499764,1047.340142,1046.685183,1046.863536,1046.734968,1046.651988	.	.	1060.707183	1046.855163
AGRN	J000043	J000043	intron	chr1:1050037-1050233	+	0.981714	1	0.040967	1042.679795,1042.566967,1042.575326,1042.416457,1043.3342,1071.730669,1071.830397,1071.929506,1071.76695,1071.755052	.	.	1042.714549	1071.802515
AGRN	J000044	J000044	intron	chr1:1050329-1050427	+	0.998151	1	0.017901	1045.960639,1045.823538,1045.993865,1045.777823,1046.050025,1058.343024,1060.523883,1060.43488,1060.362039,1060.321563	.	.	1045.921178	1059.997078
AGRN	J000045	J000045	intron	chr1:1050591-1050726	+	0.999818	1	0.00393952	1034.031669,1033.764022,1034.2439,1034.108091,1036.106586,1040.210328,1040.33705,1040.676825,1040.39161,1040.446159	.	.	1034.450854	1040.412394
AGRN	J000046	J000046	intron	chr1:1050837-1051032	+	0.849198	1	0.978413	1.004494,1.004494,1.974941,1.004494,1.001476,1.008477,1.99572,2.943345,0.0,2.943345	.	.	1.19798	1.778177
AGRN	J000047	J000047	intron	chr1:1050837-1051253	+	1	1	0.00406873	1039.37132,1039.522641,1039.392342,1039.228329,1040.241878,1042.270962,1042.328375,1042.403636,1042.294919,1042.391094	.	.	1039.551302	1042.337797
AGRN	J000048	J000048	intron	chr1:1051369-1051453	+	0.966697	1	-0.0390134	1056.082836,1056.168477,1056.013488,1056.115465,1056.001038,1021.551201,1021.838143,1022.068282,1021.816422,1022.029216	.	.	1056.076261	1021.860653
AGRN	J000049	J000049	intron	chr1:1051645-1051728	+	0.995718	1	-0.0255419	1032.847453,1032.630429,1032.592113,1032.843199,1027.635577,1009.549445,1009.727776,1009.66113,1009.843255,1009.829933	.	.	1031.709754	1009.722308
AGRN	J000050	J000050	intron	chr1:1051815-1051993	+	1	1	inf	0.504087,0.0,0.0,0.0,0.0,7.495575,10.508184,11.727467,9.125161,0.0	.	.	0.100817	7.771277
AGRN	J000051	J000051	intron	chr1:1051815-1053753	+	1	1	0.0209011	1011.928907,1011.986417,1012.101402,1011.955452,1010.370862,1023.43632,1023.744875,1023.55012,1023.610726,1023.675645	.	.	1011.668608	1023.603537
AGRN	J000052	J000052	intron	chr1:1053493-1053753	+	1	1	-0.970854	1.997197,1.997197,1.997197,1.997197,1.008391,1.978583,1.001165,1.958285,0.0,1.001165	.	.	1.799436	1.18784
AGRN	J000053	J000053	intron	chr1:1053977-1054448	+	0.976176	1	0.050386	1029.457795,1029.020785,1029.213671,1029.397855,1034.363404,1078.022792,1077.900499,1078.065249,1078.065249,1078.073092	.	.	1030.290702	1078.025376
AGRN	J000054	J000054	intron	chr1:1054551-1054824	+	0.996387	1	0.0196073	1023.58986,1023.243379,1023.217375,1023.706696,1031.448412,1043.423987,1042.829445,1043.180292,1042.862879,1043.084272	.	.	1025.041144	1043.076175
SDF4	J000055	J000055	intron	chr1:1217688-1218458	-	1	1	-3.10351	2008.074238,2008.075101,2008.075022,2008.073297,2007.816172,253.352743,245.785467,245.800529,245.772914,245.815586	.	.	2008.022766	247.305448
SDF4	J000056	J000056	intron	chr1:1217804-1218458	-	1	1	3.37192	185.998581,185.996288,186.035244,185.987117,189.48113,1895.672862,1896.003528,1896.003206,1896.006077,1896.005608	.	.	186.699672	1895.938256
SDF4	J000057	J000057	intron	chr1:1218633-1218769	-	0.999144	1	-0.0131382	2215.542459,2215.502539,2215.508381,2215.446061,2215.335843,2195.39799,2195.414959,2195.490284,2195.42487,2195.430817	.	.	2215.467057	2195.431784
SDF4	J000058	J000058	intron	chr1:1218927-1223244	-	0.994629	1	-0.0162434	2156.33802,2156.288749,2156.245633,2156.197381,2155.779092,2128.969313,2129.147296,2129.154663,2129.247265,2129.178867	.	.	2156.169775	2129.139481
SDF4	J000059	J000059	intron	chr1:1219005-1223244	-	0.996834	1	-0.00160465	61.796843,63.751322,62.788145,60.076081,62.781265,62.706839,62.232494,61.244489,56.966704,61.577044	.	.	62.238731	60.945514
SDF4	J000060	J000060	intron	chr1:1223357-1223832	-	1	1	-0.013384	2254.453927,2254.494392,2254.369224,2254.45675,2254.02401,2235.10118,2234.718777,2234.75516,2234.873869,2234.819305	.	.	2254.359661	2234.853658
SDF4	J000061	J000061	intron	chr1:1223968-1228468	-	0.991414	1	-0.0184863	2167.799085,2167.905762,2167.820422,2167.897634,2167.151208,2139.165919,2139.048633,2139.044461,2139.105991,2139.126847	.	.	2167.714822	2139.09837
SDF4	J000062	J000062	intron	chr1:1227319-1228468	-	0.98164	1	0.139907	66.01873,72.810642,70.016111,66.343572,67.491767,64.906223,72.515119,72.515119,71.364363,73.076802	.	.	68.536164	70.875525
SDF4	J000063	J000063	intron	chr1:1228946-1231892	-	0.919735	1	0.0771593	1178.435663,1178.558052,1178.435663,1178.604349,1182.263755,1239.47235,1242.890358,1242.773877,1242.815695,1242.606548	.	.	1179.259496	1242.111766
SCNN1D	J000064	J000064	intron	chr1:1280666-1281226	+	0.191698	0.841003	-1.59455	2.02407,2.990657,2.990657,2.990657,3.936945,1.000001,1.956355,0.0,1.0,1.0	.	.	2.986597	0.991271
SCNN1D	J000065	J000065	intron	chr1:1281297-1281411	+	0.0974217	0.451637	-1.97884	4.010663,3.067726,5.796784,3.067726,5.851378,1.006366,1.011043,1.982616,1.011043,2.918063	.	.	4.358855	1.585826
SCNN1D	J000066	J000066	intron	chr1:1281610-1282242	+	0.529168	1	-0.748348	5.115914,5.115914,10.123957,4.175835,6.875049,3.986482,3.040646,3.040646,3.040646,5.749318	.	.	6.281334	3.771548
SCNN1D	J000067	J000067	intron	chr1:1282315-1283978	+	0.715862	1	-0.489981	7.764031,8.583701,4.188773,4.188773,6.970729,4.971261,3.08288,4.029981,4.942435,4.942435	.	.	6.339201	4.393798
SCNN1D	J000068	J000068	intron	chr1:1284090-1285571	+	0.771605	1	-0.60178	2.991338,4.803474,2.033956,1.038009,3.944289,2.964622,1.01776,1.995455,1.01776,2.936285	.	.	2.962213	1.986376
SCNN1D	J000069	J000069	intron	chr1:1284090-1285926	+	0.801096	1	-0.572829	2.983102,2.983102,2.028252,2.983102,2.020882,1.005474,1.987915,1.987915,1.01392,1.987915	.	.	2.599688	1.596628
SCNN1D	J000070	J000070	intron	chr1:1286278-1286768	+	0.0107568	0.0566858	-2.00543	7.819813,6.086358,3.245989,8.643401,8.821275,1.99603,1.991937,1.991937,2.929735,0.0	.	.	6.923367	1.781928
SCNN1D	J000071	J000071	intron	chr1:1286975-1287109	+	1	1	-0.304511	4.911871,1.064487,4.911871,4.911871,4.024758,3.999978,5.781949,3.059372,3.059372,4.000017	.	.	3.964972	3.980138
SCNN1D	J000072	J000072	intron	chr1:1287299-1287508	+	0.192792	0.845223	-1.30023	7.640352,3.149795,6.804138,5.043577,3.085436,1.011308,2.957544,2.01032,2.957544,2.01032	.	.	5.14466	2.189407
SCNN1D	J000073	J000073	intron	chr1:1287836-1287939	+	0.0188433	0.0965446	-2.76149	7.064787,9.565639,5.247929,7.064787,10.498973,1.017047,1.025499,4.654386,1.025499,3.821478	.	.	7.888423	2.308782
SCNN1D	J000074	J000074	intron	chr1:1288037-1290271	+	0.125826	0.572561	-1.57784	6.016054,4.171269,7.734731,6.016054,7.807455,3.934069,2.023264,1.032433,2.023264,4.780279	.	.	6.349113	2.758662
SCNN1D	J000075	J000075	intron	chr1:1290388-1290477	+	0.0710413	0.336885	-1.23748	5.083772,6.855329,6.855329,3.176423,9.571235,2.994099,4.798733,1.036912,2.031738,2.988246	.	.	6.308418	2.769946
SCNN1D	J000076	J000076	intron	chr1:1290555-1290637	+	0.370822	1	-1.19916	6.916561,5.131829,6.040006,6.916561,6.970762,4.844354,7.476551,1.07148,2.102644,3.070759	.	.	6.395144	3.713158
SCNN1D	J000077	J000077	intron	chr1:1290694-1290895	+	0.0290264	0.145409	-1.59455	5.220792,6.143161,10.3015,7.889642,6.050608,1.999989,3.846881,0.0,2.0,2.0	.	.	7.121141	1.969374
SCNN1D	J000078	J000078	intron	chr1:1290953-1291065	+	0.40269	1	-1.38758	2.194463,7.788621,6.939235,7.788621,8.809836,3.051578,7.174437,3.081991,5.689601,1.072079	.	.	6.704155	4.013937
SCNN1D	J000079	J000079	intron	chr1:1291140-1291254	+	0.15526	0.697108	-0.745596	4.162653,4.162653,9.329034,6.87682,5.035453,2.016949,3.920465,0.0,2.996569,2.996569	.	.	5.913323	2.38611
AURKAIP1	J000080	J000080	intron	chr1:1373902-1374000	-	0.99149	1	0.0272386	1122.227714,1122.253138,1122.078759,1122.264033,1121.527362,1142.224852,1142.298783,1142.270693,1142.421641,1142.33038	.	.	1122.070201	1142.30927
AURKAIP1	J000081	J000081	intron	chr1:1374445-1374705	-	0.999762	1	-0.00501476	1243.909856,1244.041054,1244.082788,1243.936697,1243.164091,1238.397727,1238.360449,1238.240128,1238.303302,1238.185968	.	.	1243.826897	1238.297515
AURKAIP1	J000082	J000082	intron	chr1:1374590-1374705	-	0.801929	1	-0.413233	10.361586,5.256142,4.293564,9.578717,7.97803,5.051428,6.010168,6.010168,4.166937,8.54479	.	.	7.493608	5.956698
AURKAIP1	J000083	J000083	intron	chr1:1374790-1374997	-	0.996636	1	0.138156	249.85141,249.032086,251.62266,251.887292,246.595224,260.627765,263.05148,262.604759,260.842614,262.554962	.	.	249.797734	261.936316
AURKAIP1	J000084	J000084	intron	chr1:1374790-1375154	-	0.984035	1	-0.0656168	374.373762,374.401114,373.715193,373.880219,375.70628,361.82705,364.161812,365.077255,364.104324,364.046804	.	.	374.415314	363.843449
ATAD3C	J000085	J000085	intron	chr1:1450758-1452046	+	0.00220862	0.0126462	1.24442	10.681975,9.907642,6.472434,12.839256,3.284384,19.186931,27.937443,28.486225,23.75995,23.106761	.	.	8.637138	24.495462
ATAD3C	J000086	J000086	intron	chr1:1452122-1452365	+	9.89632e-05	0.000705831	1.5244	10.725868,9.923239,9.094586,10.725868,3.25045,33.703298,26.740293,24.850396,29.070709,27.930162	.	.	8.744002	28.458972
ATAD3C	J000087	J000087	intron	chr1:1452434-1454345	+	0.000643531	0.00397852	0	8.752087,10.855503,4.773284,9.339038,5.847256,0.0,0.0,0.0,0.0,0.0	.	.	7.913434	0.0
ATAD3C	J000088	J000088	intron	chr1:1454500-1455460	+	0.356267	1	0	13.265427,13.094081,11.854649,12.52823,10.888845,0.0,0.0,0.0,0.0,0.0	.	.	12.326246	0.0
ATAD3C	J000089	J000089	intron	chr1:1455519-1455791	+	0.0574558	0.276445	0.759058	5.359738,10.536178,7.206463,9.743626,10.771297,20.670487,10.053133,16.395878,12.622728,16.395878	.	.	8.72346	15.227621
ATAD3C	J000090	J000090	intron	chr1:1455916-1456225	+	0.693452	1	-0.179294	86.70949,88.997932,86.235219,85.268612,83.968766,74.232532,74.523138,77.247694,76.718654,75.63747	.	.	86.236004	75.671898
ATAD3C	J000091	J000091	intron	chr1:1456349-1457129	+	0.928648	1	0.0291434	100.603788,98.348542,102.552746,103.12051,98.205676,92.676602,104.184014,98.907742,101.137753,102.687768	.	.	100.566252	99.918776
ATAD3C	J000092	J000092	intron	chr1:1457180-1459161	+	0.000109739	0.000773264	-3.30179	10.936602,10.122633,13.24852,9.284991,8.240655,0.0,1.004071,1.004071,1.980022,1.980022	.	.	10.36668	1.193637
ATAD3C	J000093	J000093	intron	chr1:1459231-1460750	+	0.000139663	0.000966311	0	14.883827,10.299909,12.692957,8.567737,11.064149,0.0,0.0,0.0,0.0,0.0	.	.	11.501716	0.0
ATAD3C	J000094	J000094	intron	chr1:1460917-1462600	+	0.0168615	0.0871561	0	8.596825,8.596825,9.762102,7.941031,8.157102,0.0,0.0,0.0,0.0,0.0	.	.	8.610777	0.0
ATAD3C	J000095	J000095	intron	chr1:1462708-1468384	+	0.000103234	0.000733233	0	5.482062,9.937196,11.519576,13.011502,7.28803,0.0,0.0,0.0,0.0,0.0	.	.	9.447673	0.0
ATAD3B	J000096	J000096	intron	chr1:1477350-1478644	+	0.96394	1	0.126922	92.377242,94.134433,93.918957,95.404012,97.367901,103.062412,100.172457,97.936438,101.343646,96.662968	.	.	94.640509	99.835584
ATAD3B	J000097	J000097	intron	chr1:1478745-1479049	+	1	1	0.0489592	214.825903,215.515445,215.378108,216.46883,220.178428,215.622003,217.653097,218.596255,219.062868,218.596255	.	.	216.473343	217.906096
ATAD3B	J000098	J000098	intron	chr1:1479108-1480867	+	1	1	0.0298252	323.740841,323.599991,323.529486,324.302105,323.244313,328.008272,326.490513,326.212877,326.525159,326.108551	.	.	323.683347	326.669074
ATAD3B	J000099	J000099	intron	chr1:1480936-1482138	+	1	1	0.0714005	228.80531,231.025928,229.055616,229.305027,231.445466,237.089621,233.933404,236.321363,234.778358,235.316322	.	.	229.927469	235.487814
ATAD3B	J000100	J000100	intron	chr1:1482614-1485016	+	1	1	0	1.995213,3.757707,0.0,1.995213,1.012569,0.0,0.0,0.0,0.977463,0.977463	.	.	1.75214	0.390985
ATAD3B	J000101	J000101	intron	chr1:1486235-1486544	+	0.925901	1	-0.00236843	69.876434,71.579746,67.157854,65.876323,67.444091,61.121417,63.192889,67.929005,66.728089,66.112029	.	.	68.38689	65.016686
ATAD3B	J000102	J000102	intron	chr1:1486668-1487863	+	0.868179	1	0.0169115	19.938241,13.32675,17.916314,20.579763,12.869904,16.374032,19.540762,22.09259,18.167525,15.181041	.	.	16.926194	18.27119
ATAD3A	J000103	J000103	intron	chr1:1512473-1516012	+	2.80058e-07	5.58342e-06	-1.36134	265.703794,267.694103,265.949068,266.437463,266.906273,105.190511,108.480689,106.470549,106.283089,109.013387	.	.	266.53814	107.087645
ATAD3A	J000104	J000104	intron	chr1:1512690-1516012	+	6.00973e-07	9.90775e-06	1.28504	61.913979,62.242394,59.519147,61.913979,60.055085,151.246243,154.718002,157.372725,155.169449,155.728571	.	.	61.128917	154.846998
ATAD3A	J000105	J000105	intron	chr1:1516088-1517311	+	0.998637	1	-0.0126501	365.220986,365.163787,365.791235,364.676316,366.154185,369.467555,365.156597,365.44274,365.614047,365.385575	.	.	365.401302	366.213303
ATAD3A	J000106	J000106	intron	chr1:1517412-1517716	+	1	1	0.0105982	382.197495,383.173158,382.46206,382.857695,386.344004,387.316406,387.51709,388.212193,388.032407,387.878068	.	.	383.406882	387.791233
ATAD3A	J000107	J000107	intron	chr1:1517775-1518921	+	0.999991	1	0.00705051	398.079911,398.153739,398.252099,398.473092,397.915408,400.050568,398.436402,398.534688,398.681955,398.681955	.	.	398.17485	398.877114
ATAD3A	J000108	J000108	intron	chr1:1518990-1520141	+	0.993326	1	-0.00838242	409.439332,410.32654,409.34554,409.650084,410.93915,403.373014,402.683901,403.478496,403.478496,403.1902	.	.	409.940129	403.240821
ATAD3A	J000109	J000109	intron	chr1:1520306-1520548	+	1	1	0.0392339	402.17578,402.151624,402.006575,402.561574,398.235414,410.916949,407.981712,408.640619,408.523237,407.84002	.	.	401.426193	408.780507
ATAD3A	J000110	J000110	intron	chr1:1520617-1522744	+	1	1	0.0353583	394.355997,394.456099,395.253654,395.005039,390.363708,393.342082,393.18288,392.65404,393.258222,392.729744	.	.	393.886899	393.033394
ATAD3A	J000111	J000111	intron	chr1:1522899-1523511	+	0.999972	1	0.0151145	375.444447,375.799239,376.234285,376.964373,376.519841,378.347494,380.314677,379.728676,378.951269,379.782082	.	.	376.192437	379.42484
ATAD3A	J000112	J000112	intron	chr1:1523567-1523839	+	1	1	0.0580914	385.185231,384.402444,384.376253,385.185231,381.678204,388.844531,388.958759,388.523701,387.311743,388.061136	.	.	384.165473	388.339974
ATAD3A	J000113	J000113	intron	chr1:1523964-1524273	+	0.998885	1	0.0115301	387.079978,387.260626,387.312184,386.562176,386.971422,391.996684,390.950431,390.645407,391.051916,390.696304	.	.	387.037277	391.068148
ATAD3A	J000114	J000114	intron	chr1:1524397-1525240	+	0.998622	1	0.0462191	362.810566,361.067317,362.261764,361.739088,366.00196,374.106523,378.289331,378.208686,377.966382,378.718402	.	.	362.776139	377.457865
ATAD3A	J000115	J000115	intron	chr1:1525291-1526461	+	1	1	-0.058346	381.285365,381.179392,379.979889,380.514659,385.567795,375.721582,375.814167,376.113199,375.759707,376.627707	.	.	381.70542	376.007272
ATAD3A	J000116	J000116	intron	chr1:1526531-1527695	+	0.993636	1	-0.00827256	370.274938,370.553741,370.219088,370.470179,369.097112,362.211048,363.887833,364.260959,363.340038,363.916584	.	.	370.123012	363.523292
ATAD3A	J000117	J000117	intron	chr1:1527862-1529223	+	0.999474	1	-0.0500694	370.581801,371.38998,371.667221,371.77791,371.696462,362.841021,363.203332,363.807935,363.54926,363.029929	.	.	371.422675	363.286295
ATAD3A	J000118	J000118	intron	chr1:1529331-1533926	+	0.956291	1	-0.0664044	378.296441,377.973546,378.188919,378.02743,380.315773,361.150549,366.967039,367.364161,368.238115,368.350343	.	.	378.560422	366.414041
SSU72	J000119	J000119	intron	chr1:1542167-1543869	-	1	1	0.00578274	1490.284059,1490.517717,1490.492463,1490.429323,1491.38624,1495.941297,1495.827209,1495.912894,1495.9317,1495.963042	.	.	1490.62196	1495.915228
SSU72	J000120	J000120	intron	chr1:1543987-1544863	-	0.986993	1	-0.0103739	1499.53459,1499.599071,1499.596991,1499.357731,1500.478123,1489.380311,1489.594347,1489.474222,1489.531128,1489.63438	.	.	1499.713301	1489.522878
SSU72	J000121	J000121	intron	chr1:1545002-1564773	-	0.996487	1	-0.0306286	1514.452627,1514.438342,1514.381195,1514.348536,1514.161268,1482.218953,1482.068359,1482.144963,1482.134324,1482.136452	.	.	1514.356394	1482.14061
SSU72	J000122	J000122	intron	chr1:1564916-1574478	-	0.994508	1	0.0211265	1493.075391,1492.966312,1492.936939,1492.857202,1493.93209,1519.971854,1518.304884,1518.507934,1518.388147,1518.337379	.	.	1493.153587	1518.70204
GNB1	J000123	J000123	intron	chr1:1787053-1787322	-	1	1	-0.00882687	2871.701992,2871.658074,2871.704334,2871.645191,2873.525077,2852.660598,2853.138777,2853.14708,2853.152417,2853.141149	.	.	2872.046934	2853.048004
