group_id	chrom	start	end	strand	gene_name	psi(control)	psi(epileptic)	delta_psi
g000014	chr1	16229866	16345704	-	Stau2	0.0663909	0.0599064	-0.00648451
g000014	chr1	16231091	16345704	-	Stau2	0.926343	0.922783	-0.00356064
g000014	chr1	16345312	16345704	-	Stau2	0.00726564	0.0173108	0.0100451
g000015	chr1	16366135	16369755	-	Stau2	0.00535565	0.00389219	-0.00146346
g000015	chr1	16366139	16369755	-	Stau2	0.994644	0.996108	0.00146346
g000016	chr1	16394210	16440323	-	Stau2	0.989841	0.993436	0.00359561
g000016	chr1	16394210	16509342	-	Stau2	0.0101592	0.00656361	-0.00359561
g000017	chr1	16394210	16509342	-	Stau2	0.0103085	0.00640202	-0.00390652
g000017	chr1	16463194	16509342	-	Stau2	0.67049	0.710338	0.039848
g000019	chr1	16463194	16509342	-	Stau2	0.628618	0.662616	0.0339976
g000017	chr1	16486150	16509342	-	Stau2	0.287073	0.256849	-0.030224
g000017	chr1	16491394	16509342	-	Stau2	0.0321278	0.0264103	-0.00571751
g000018	chr1	16440458	16463035	-	Stau2	0.993432	0.988701	-0.00473106
g000018	chr1	16460419	16463035	-	Stau2	0.00656803	0.0112991	0.00473106
g000019	chr1	16463194	16486020	-	Stau2	0.371382	0.337384	-0.0339976
g000020	chr1	16509408	16519173	-	Stau2	0.960225	0.939649	-0.0205761
g000020	chr1	16509408	16520001	-	Stau2	0.0397753	0.0603515	0.0205761
g000021	chr1	16585352	16597951	-	Ube2w	0.136198	0.164203	0.0280042
g000021	chr1	16585431	16597951	-	Ube2w	0.863802	0.835797	-0.0280042
g000022	chr1	16602353	16619237	-	Ube2w	0.989189	0.983512	-0.00567688
g000022	chr1	16602353	16619241	-	Ube2w	0.0108107	0.0164876	0.00567688
g000023	chr1	16648007	16656296	-	Eloc	0.193664	0.164695	-0.0289684
g000023	chr1	16648007	16656822	-	Eloc	0.656072	0.68466	0.028588
g000024	chr1	16648007	16656822	-	Eloc	0.929361	0.941391	0.0120294
g000023	chr1	16648007	16656912	-	Eloc	0.0417523	0.033924	-0.00782823
g000023	chr1	16648007	16656992	-	Eloc	0.108511	0.11672	0.0082087
g000024	chr1	16656459	16656822	-	Eloc	0.0706388	0.0586094	-0.0120294
g000025	chr1	16996889	16997464	-	Jph1	0.515017	0.38849	-0.126526
g000025	chr1	16997040	16997464	-	Jph1	0.484983	0.61151	0.126526
g000026	chr1	22296996	22346293	-	Rims1	0.787451	0.756024	-0.0314274
g000026	chr1	22296996	22397451	-	Rims1	0.212549	0.243976	0.0314274
g000027	chr1	22296996	22397451	-	Rims1	0.216267	0.26654	0.050273
g000027	chr1	22379540	22397451	-	Rims1	0.783733	0.73346	-0.050273
g000028	chr1	22346501	22373344	-	Rims1	0.162766	0.151571	-0.0111954
g000028	chr1	22346528	22373344	-	Rims1	0.837234	0.848429	0.0111954
g000029	chr1	22397563	22398599	-	Rims1	0.142334	0.177737	0.0354034
g000029	chr1	22397563	22404444	-	Rims1	0.289084	0.287887	-0.00119743
g000030	chr1	22397563	22404444	-	Rims1	0.681014	0.665112	-0.0159024
g000029	chr1	22397563	22421741	-	Rims1	0.320786	0.327983	0.00719716
g000031	chr1	22397563	22421741	-	Rims1	0.485625	0.477883	-0.00774291
g000029	chr1	22397563	22427462	-	Rims1	0.247796	0.206393	-0.0414031
g000032	chr1	22397563	22427462	-	Rims1	0.238832	0.190844	-0.0479886
g000030	chr1	22398781	22404444	-	Rims1	0.318986	0.334888	0.0159024
g000031	chr1	22404515	22421741	-	Rims1	0.514375	0.522117	0.00774291
g000032	chr1	22425933	22427462	-	Rims1	0.761168	0.809156	0.0479886
g000033	chr1	22596581	22726930	-	Rims1	0.0777554	0.0610589	-0.0166965
g000033	chr1	22596584	22726930	-	Rims1	0.316181	0.330682	0.0145013
g000034	chr1	22596584	22726930	-	Rims1	0.277416	0.275261	-0.00215511
g000033	chr1	22630480	22726930	-	Rims1	0.606064	0.608259	0.00219522
g000036	chr1	22630480	22726930	-	Rims1	0.829777	0.791648	-0.0381293
g000034	chr1	22596584	22630412	-	Rims1	0.650052	0.656907	0.00685485
g000034	chr1	22596584	22805561	-	Rims1	0.072532	0.0678323	-0.00469974
g000035	chr1	22596584	22805561	-	Rims1	0.0795174	0.0693061	-0.0102114
g000035	chr1	22630480	22805561	-	Rims1	0.119284	0.135879	0.0165951
g000036	chr1	22630480	22805561	-	Rims1	0.170223	0.208352	0.0381293
g000035	chr1	22727010	22805561	-	Rims1	0.801199	0.794815	-0.00638373
g000037	chr1	23378804	23378972	-	Ogfrl1	0.687719	0.667468	-0.0202506
g000037	chr1	23378807	23378972	-	Ogfrl1	0.312281	0.332532	0.0202506
g000038	chr1	23379058	23382815	-	Ogfrl1	0.98569	0.991385	0.0056945
g000038	chr1	23379058	23379165	-	Ogfrl1	0.0143098	0.00861529	-0.0056945
g000039	chr1	23866297	23871438	-	Smap1	0.922393	0.885696	-0.0366963
g000039	chr1	23866297	23876374	-	Smap1	0.0776074	0.114304	0.0366963
g000040	chr1	23866297	23876374	-	Smap1	0.0881073	0.12537	0.0372627
g000040	chr1	23871518	23876374	-	Smap1	0.911893	0.87463	-0.0372627
g000041	chr1	24029940	24030742	-	Fam135a	0.395531	0.341938	-0.0535939
g000041	chr1	24030528	24030742	-	Fam135a	0.604469	0.658062	0.0535939
g000042	chr1	24046407	24053183	-	Fam135a	0.730569	0.647967	-0.0826013
g000042	chr1	24049207	24053183	-	Fam135a	0.269431	0.352033	0.0826013
g000043	chr1	25074786	25084244	-	Adgrb3	0.0263847	0.0292617	0.00287699
g000043	chr1	25074789	25084244	-	Adgrb3	0.973615	0.970738	-0.00287699
g000044	chr1	30831559	30837105	-	Phf3	0.677131	0.709842	0.0327108
g000044	chr1	30831559	30862987	-	Phf3	0.219267	0.152854	-0.0664134
g000045	chr1	30831559	30862987	-	Phf3	0.33147	0.271124	-0.0603453
g000044	chr1	30831559	30873578	-	Phf3	0.103602	0.137304	0.0337026
g000046	chr1	30831559	30873578	-	Phf3	0.286642	0.41406	0.127418
g000045	chr1	30837266	30862987	-	Phf3	0.66853	0.728876	0.0603453
g000046	chr1	30863255	30873578	-	Phf3	0.713358	0.58594	-0.127418
g000047	chr1	33786532	33805339	-	Zfp451	0.174712	0.26519	0.0904783
g000047	chr1	33803613	33805339	-	Zfp451	0.825288	0.73481	-0.0904783
g000048	chr1	34819769	34819867	-	Fam168b	0.911116	0.883873	-0.0272434
g000048	chr1	34819790	34819867	-	Fam168b	0.0888839	0.116127	0.0272434
g000049	chr1	34820009	34824020	-	Fam168b	0.336059	0.338909	0.00284928
g000049	chr1	34820009	34828767	-	Fam168b	0.663941	0.661091	-0.00284928
g000050	chr1	34820009	34828767	-	Fam168b	0.706966	0.69689	-0.0100762
g000050	chr1	34824055	34828767	-	Fam168b	0.293034	0.30311	0.0100762
g000051	chr1	36346029	36347217	-	Kansl3	0.902756	0.84594	-0.056816
g000051	chr1	36346029	36348525	-	Kansl3	0.0972444	0.15406	0.056816
g000052	chr1	36346029	36348525	-	Kansl3	0.0915163	0.140051	0.0485349
g000052	chr1	36347294	36348525	-	Kansl3	0.908484	0.859949	-0.0485349
g000053	chr1	36365652	36367750	-	Kansl3	0.337706	0.355465	0.0177591
g000053	chr1	36365652	36367769	-	Kansl3	0.662294	0.644535	-0.0177591
g000054	chr1	36424386	36424838	-	Lman2l	0.0236724	0.0162499	-0.00742252
g000054	chr1	36424503	36424838	-	Lman2l	0.976328	0.98375	0.00742252
g000055	chr1	36428461	36429423	-	Lman2l	0.843089	0.781366	-0.0617231
g000055	chr1	36428461	36438750	-	Lman2l	0.156911	0.218634	0.0617231
g000056	chr1	36428461	36438750	-	Lman2l	0.159034	0.214903	0.0558688
g000056	chr1	36429455	36438750	-	Lman2l	0.840966	0.785097	-0.0558688
g000057	chr1	36439726	36443491	-	Lman2l	0.98065	0.974457	-0.00619253
g000057	chr1	36439726	36443520	-	Lman2l	0.01935	0.0255425	0.00619253
g000058	chr1	36542865	36546910	-	Ankrd39	0.603335	0.59494	-0.00839523
g000058	chr1	36542865	36547086	-	Ankrd39	0.396665	0.40506	0.00839523
g000059	chr1	36794195	36794804	-	Tmem131	0.271783	0.247809	-0.0239742
g000059	chr1	36794198	36794804	-	Tmem131	0.728217	0.752191	0.0239742
g000060	chr1	36796279	36798942	-	Tmem131	0.0869881	0.105913	0.018925
g000060	chr1	36796324	36798942	-	Tmem131	0.913012	0.894087	-0.018925
g000061	chr1	37496013	37498573	-	Mgat4a	0.795372	0.728205	-0.0671663
g000061	chr1	37496013	37498600	-	Mgat4a	0.204628	0.271795	0.0671663
g000062	chr1	37612396	37613337	-	AC140321.1	0.397215	0.377117	-0.0200978
g000062	chr1	37612399	37613337	-	AC140321.1	0.602785	0.622883	0.0200978
g000063	chr1	37631881	37637861	-	AC140321.1	0.00860039	0.00432222	-0.00427817
g000063	chr1	37631951	37637861	-	AC140321.1	0.9914	0.995678	0.00427817
g000064	chr1	37644640	37676342	-	AC140321.1	0.34637	0.34656	0.000189459
g000064	chr1	37644640	37718935	-	AC140321.1	0.0405739	0.0346746	-0.00589928
g000065	chr1	37644640	37718935	-	AC140321.1	0.58791	0.532834	-0.0550759
g000064	chr1	37644640	37719570	-	AC140321.1	0.613056	0.618766	0.00570982
g000066	chr1	37644640	37719570	-	AC140321.1	0.778911	0.760078	-0.0188331
g000065	chr1	37676779	37718935	-	AC140321.1	0.41209	0.467166	0.0550759
g000067	chr1	37676779	37718935	-	AC140321.1	0.140597	0.132638	-0.00795904
g000066	chr1	37676779	37719570	-	AC140321.1	0.221089	0.239922	0.0188331
g000067	chr1	37676779	37719570	-	AC140321.1	0.859403	0.867362	0.00795904
g000068	chr1	37995841	37996893	-	Txndc9	0.230382	0.180662	-0.0497202
g000068	chr1	37995841	37997109	-	Txndc9	0.610307	0.643497	0.0331901
g000068	chr1	37995841	37997164	-	Txndc9	0.159311	0.175841	0.0165301
g000069	chr1	38874040	38884346	-	Chst10	0.0155186	0.0151137	-0.000404896
g000069	chr1	38874040	38884350	-	Chst10	0.984481	0.984886	0.000404896
g000070	chr1	39555670	39558315	-	Rnf149	0.884286	0.928358	0.0440725
g000070	chr1	39555670	39560693	-	Rnf149	0.115714	0.0716419	-0.0440725
g000071	chr1	39555670	39560693	-	Rnf149	0.127976	0.0780057	-0.0499708
g000071	chr1	39558411	39560693	-	Rnf149	0.872024	0.921994	0.0499708
g000072	chr1	42648456	42663556	-	Pantr1	0.367779	0.352092	-0.0156872
g000072	chr1	42648456	42666841	-	Pantr1	0.632221	0.647908	0.0156872
g000073	chr1	42648456	42666841	-	Pantr1	0.56358	0.569417	0.00583682
g000073	chr1	42663602	42666841	-	Pantr1	0.43642	0.430583	-0.00583682
g000074	chr1	42667003	42667586	-	Pantr1	0.155042	0.214922	0.0598794
g000074	chr1	42667003	42667630	-	Pantr1	0.0311984	0.0253327	-0.0058657
g000074	chr1	42667003	42692941	-	Pantr1	0.483354	0.431485	-0.051869
g000074	chr1	42667003	42694747	-	Pantr1	0.330405	0.32826	-0.00214462
g000075	chr1	43075952	43092381	-	Tgfbrap1	0.693539	0.701663	0.00812386
g000075	chr1	43075952	43096852	-	Tgfbrap1	0.306461	0.298337	-0.00812386
g000076	chr1	46836151	46841748	-	Slc39a10	0.0595519	0.0609872	0.00143531
g000076	chr1	46836151	46853471	-	Slc39a10	0.792722	0.791974	-0.000747785
g000076	chr1	46836151	46892800	-	Slc39a10	0.147727	0.147039	-0.00068753
g000077	chr1	51766908	51768650	-	Myo1b	0.675765	0.527862	-0.147903
g000077	chr1	51766908	51769004	-	Myo1b	0.324235	0.472138	0.147903
g000078	chr1	51766908	51769004	-	Myo1b	0.360007	0.500015	0.140008
g000078	chr1	51768736	51769004	-	Myo1b	0.639993	0.499985	-0.140008
g000079	chr1	52168958	52188679	-	Gls	0.887855	0.861198	-0.0266566
g000079	chr1	52187794	52188679	-	Gls	0.112145	0.138802	0.0266566
g000080	chr1	52199887	52200618	-	Gls	0.00271167	0.00678819	0.00407652
g000080	chr1	52199887	52207301	-	Gls	0.997288	0.993212	-0.00407652
g000081	chr1	52199887	52207301	-	Gls	0.986032	0.978866	-0.00716582
g000081	chr1	52204516	52207301	-	Gls	0.013968	0.0211338	0.00716582
g000082	chr1	52215694	52219488	-	Gls	0.972225	0.970065	-0.00215978
g000082	chr1	52215694	52219943	-	Gls	0.0277748	0.0299345	0.00215978
g000083	chr1	52215694	52219943	-	Gls	0.0299213	0.0296595	-0.000261854
g000083	chr1	52219609	52219943	-	Gls	0.970079	0.970341	0.000261854
g000084	chr1	52658545	52658699	-	Mfsd6	0.6561	0.738073	0.0819729
g000084	chr1	52658545	52660807	-	Mfsd6	0.3439	0.261927	-0.0819729
g000085	chr1	52658545	52660807	-	Mfsd6	0.286566	0.220796	-0.0657705
g000085	chr1	52658723	52660807	-	Mfsd6	0.713434	0.779204	0.0657705
g000086	chr1	53346761	53347015	-	Asnsd1,RP24-93I18.4	0.868472	0.84174	-0.0267323
g000086	chr1	53346761	53348446	-	Asnsd1	0.131528	0.15826	0.0267323
g000087	chr1	55014562	55014869	-	Sf3b1	0.037615	0.0623039	0.0246889
g000087	chr1	55014562	55016376	-	Sf3b1	0.962385	0.937696	-0.0246889
g000088	chr1	55014562	55016376	-	Sf3b1	0.990859	0.97996	-0.0108999
g000088	chr1	55014924	55016376	-	Sf3b1	0.00914056	0.0200405	0.0108999
g000089	chr1	55086941	55087779	-	Hspd1	0.710098	0.682471	-0.0276271
g000089	chr1	55086941	55087989	-	Hspd1	0.289902	0.317529	0.0276271
g000090	chr1	57396796	57401369	-	Tyw5	0.466447	0.341271	-0.125177
g000090	chr1	57396796	57401388	-	Tyw5	0.533553	0.658729	0.125177
g000091	chr1	58419733	58420121	-	Clk1	0.911503	0.765513	-0.14599
g000091	chr1	58419733	58421083	-	Clk1	0.0884971	0.234487	0.14599
g000092	chr1	58419733	58421083	-	Clk1	0.0654203	0.210642	0.145222
g000092	chr1	58420211	58421083	-	Clk1	0.93458	0.789358	-0.145222
g000093	chr1	58444639	58445146	-	Ppil3	0.64941	0.591917	-0.0574928
g000093	chr1	58444639	58445332	-	Ppil3	0.120686	0.174442	0.0537558
g000093	chr1	58444639	58445410	-	Ppil3	0.229904	0.233641	0.00373702
g000094	chr1	58530259	58534485	-	Fam126b	0.467718	0.440255	-0.0274634
g000094	chr1	58530259	58535390	-	Fam126b	0.532282	0.559745	0.0274634
g000095	chr1	58530259	58535390	-	Fam126b	0.370092	0.442782	0.0726896
g000095	chr1	58534652	58535390	-	Fam126b	0.629908	0.557218	-0.0726896
g000096	chr1	58558057	58565768	-	Fam126b	0.125857	0.114056	-0.0118016
g000096	chr1	58558057	58565857	-	Fam126b	0.874143	0.885944	0.0118016
g000097	chr1	58904182	58906706	-	Trak2	0.940705	0.952473	0.011768
g000097	chr1	58904182	58908523	-	Trak2	0.0592949	0.0475269	-0.011768
g000098	chr1	58904182	58908523	-	Trak2	0.0603033	0.0501469	-0.0101564
g000098	chr1	58906811	58908523	-	Trak2	0.939697	0.949853	0.0101564
g000099	chr1	58906811	58908523	-	Trak2	0.880807	0.881129	0.0003213
g000099	chr1	58906811	58908529	-	Trak2	0.119193	0.118871	-0.0003213
g000100	chr1	58921152	58921623	-	Trak2	0.0348894	0.0269699	-0.00791952
g000100	chr1	58921152	58921680	-	Trak2	0.965111	0.97303	0.00791952
g000101	chr1	59178696	59179060	-	Als2	0.0905892	0.0732501	-0.0173391
g000101	chr1	59178699	59179060	-	Als2	0.909411	0.92675	0.0173391
g000102	chr1	59644589	59655458	-	Sumo1	0.0638504	0.0568333	-0.00701711
g000102	chr1	59644594	59655458	-	Sumo1	0.93615	0.943167	0.00701711
g000103	chr1	59991188	59997451	-	Ica1l	0.166017	0.163187	-0.00282988
g000103	chr1	59991239	59997451	-	Ica1l	0.833983	0.836813	0.00282988
g000104	chr1	60015835	60022578	-	Ica1l	0.937863	0.917251	-0.0206124
g000104	chr1	60021384	60022578	-	Ica1l	0.0621368	0.0827492	0.0206124
g000105	chr1	60028236	60042797	-	Ica1l	0.821208	0.686578	-0.13463
g000106	chr1	60028236	60042797	-	Ica1l	0.621053	0.637128	0.0160751
g000105	chr1	60028236	60043070	-	Ica1l	0.178792	0.313422	0.13463
g000106	chr1	60028246	60042797	-	Ica1l	0.378947	0.362872	-0.0160751
g000107	chr1	60510491	60518980	-	Raph1	0.622986	0.647601	0.0246152
g000107	chr1	60510491	60525592	-	Raph1	0.377014	0.352399	-0.0246152
g000108	chr1	60510491	60525592	-	Raph1	0.410231	0.397669	-0.0125622
g000108	chr1	60519060	60525592	-	Raph1	0.589769	0.602331	0.0125622
g000109	chr1	63170914	63172154	-	Ndufs1	0.0600668	0.0560021	-0.00406472
g000109	chr1	63170914	63176428	-	Ndufs1	0.377685	0.385268	0.00758329
g000109	chr1	63170914	63176586	-	Ndufs1	0.562248	0.55873	-0.00351857
g000110	chr1	67038591	67038776	-	Lancl1	0.418532	0.553351	0.134819
g000110	chr1	67038591	67038802	-	Lancl1	0.581468	0.446649	-0.134819
g000111	chr1	71597672	71598374	-	Fn1	0.139248	0.132651	-0.00659706
g000111	chr1	71597747	71598374	-	Fn1	0.860752	0.867349	0.00659706
g000112	chr1	71602497	71603660	-	Fn1	0.34116	0.36606	0.0248994
g000112	chr1	71602497	71604970	-	Fn1	0.65884	0.63394	-0.0248994
g000113	chr1	71602497	71604970	-	Fn1	0.659319	0.669318	0.00999836
g000113	chr1	71603929	71604970	-	Fn1	0.340681	0.330682	-0.00999836
g000114	chr1	71612650	71613763	-	Fn1	0.276953	0.23755	-0.0394028
g000114	chr1	71612650	71615360	-	Fn1	0.723047	0.76245	0.0394028
g000115	chr1	71612650	71615360	-	Fn1	0.754633	0.783618	0.0289848
g000115	chr1	71614035	71615360	-	Fn1	0.245367	0.216382	-0.0289848
g000116	chr1	74284041	74284503	-	Aamp	0.941711	0.930209	-0.011502
g000116	chr1	74284044	74284503	-	Aamp	0.0582894	0.0697914	0.011502
g000117	chr1	74579406	74585384	-	Zfp142	0.177089	0.206367	0.0292783
g000117	chr1	74579927	74585384	-	Zfp142	0.822911	0.793633	-0.0292783
g000118	chr1	74595298	74595631	-	Rnf25	0.310293	0.295509	-0.0147842
g000118	chr1	74595301	74595631	-	Rnf25	0.689707	0.704491	0.0147842
g000119	chr1	75190877	75191487	-	Atg9a	0.129033	0.114284	-0.0147493
g000119	chr1	75190877	75191824	-	Atg9a	0.870967	0.885716	0.0147493
g000120	chr1	75190877	75191824	-	Atg9a	0.501723	0.494549	-0.00717404
g000120	chr1	75190880	75191824	-	Atg9a	0.498277	0.505451	0.00717404
g000121	chr1	75257424	75257942	-	Ptprn	0.0327314	0.0335761	0.0008447
g000121	chr1	75257424	75257945	-	Ptprn	0.967269	0.966424	-0.0008447
g000122	chr1	75260667	75262027	-	Ptprn	0.98374	0.987117	0.00337687
g000122	chr1	75260667	75262323	-	Ptprn	0.01626	0.0128832	-0.00337687
g000123	chr1	75260667	75262323	-	Ptprn	0.0196298	0.0149638	-0.00466599
g000123	chr1	75262140	75262323	-	Ptprn	0.98037	0.985036	0.00466599
g000124	chr1	75262373	75263858	-	Ptprn	0.00906135	0.00643945	-0.0026219
g000124	chr1	75262373	75263948	-	Ptprn	0.0319646	0.0305803	-0.00138435
g000124	chr1	75262373	75264004	-	Ptprn	0.958974	0.96298	0.00400624
g000125	chr1	75274210	75274397	-	Resp18	0.994796	0.989728	-0.0050681
g000125	chr1	75274210	75274402	-	Resp18	0.00520367	0.0102718	0.0050681
g000126	chr1	75477540	75478792	-	Chpf	0.04451	0.0350161	-0.00949388
g000126	chr1	75477818	75478792	-	Chpf	0.883706	0.894951	0.0112447
g000127	chr1	75477818	75478792	-	Chpf	0.870581	0.858599	-0.0119816
g000126	chr1	75478412	75478792	-	Chpf	0.071784	0.0700332	-0.0017508
g000127	chr1	75477818	75478270	-	Chpf	0.129419	0.141401	0.0119816
g000128	chr1	77373847	77374742	-	Epha4	0.143187	0.137994	-0.00519294
g000128	chr1	77373847	77374771	-	Epha4	0.856813	0.862006	0.00519294
g000129	chr1	78480111	78482308	-	Farsb	0.92019	0.922485	0.00229415
g000129	chr1	78480111	78488785	-	Farsb	0.0798095	0.0775154	-0.00229415
g000130	chr1	78480111	78488785	-	Farsb	0.0878934	0.0873276	-0.000565824
g000130	chr1	78482363	78488785	-	Farsb	0.912107	0.912672	0.000565824
g000131	chr1	80304193	80322859	-	Cul3	0.947012	0.951027	0.00401414
g000131	chr1	80304193	80322987	-	Cul3	0.0529876	0.0489734	-0.00401414
g000132	chr1	80501826	80503919	-	Dock10	0.370196	0.360384	-0.0098119
g000132	chr1	80501826	80505325	-	Dock10	0.629804	0.639616	0.0098119
g000133	chr1	80501826	80505325	-	Dock10	0.651602	0.661191	0.00958928
g000133	chr1	80503994	80505325	-	Dock10	0.348398	0.338809	-0.00958928
g000134	chr1	80526330	80528233	-	Dock10	0.691507	0.681636	-0.00987133
g000134	chr1	80526330	80528649	-	Dock10	0.308493	0.318364	0.00987133
g000135	chr1	80526330	80528649	-	Dock10	0.31941	0.30279	-0.0166198
g000135	chr1	80528331	80528649	-	Dock10	0.68059	0.69721	0.0166198
g000136	chr1	80540551	80541228	-	Dock10	0.622547	0.646171	0.0236246
g000136	chr1	80540578	80541228	-	Dock10	0.377453	0.353829	-0.0236246
g000137	chr1	83263834	83265969	-	Sphkap	0.246307	0.305556	0.0592487
g000137	chr1	83263834	83267302	-	Sphkap	0.753693	0.694444	-0.0592487
g000138	chr1	83263834	83267302	-	Sphkap	0.675531	0.620303	-0.0552281
g000138	chr1	83266055	83267302	-	Sphkap	0.324469	0.379697	0.0552281
g000139	chr1	83362328	83384894	-	Sphkap	0.618528	0.647145	0.0286171
g000139	chr1	83362328	83407980	-	Sphkap	0.381472	0.352855	-0.0286171
g000140	chr1	83362328	83407980	-	Sphkap	0.337321	0.311071	-0.02625
g000140	chr1	83384972	83407980	-	Sphkap	0.662679	0.688929	0.02625
g000141	chr1	84745170	84747178	-	Trip12	0.144694	0.172109	0.0274148
g000141	chr1	84745185	84747178	-	Trip12	0.855306	0.827891	-0.0274148
g000142	chr1	84759046	84760763	-	Trip12	0.125191	0.206799	0.0816083
g000142	chr1	84759127	84760763	-	Trip12	0.874809	0.793201	-0.0816083
g000143	chr1	84759127	84760763	-	Trip12	0.847173	0.881948	0.0347742
g000143	chr1	84759127	84760760	-	Trip12	0.152827	0.118052	-0.0347742
g000144	chr1	84794327	84795690	-	Trip12	0.473505	0.465489	-0.00801608
g000144	chr1	84794327	84814823	-	Trip12	0.526495	0.534511	0.00801608
g000145	chr1	84794327	84814823	-	Trip12	0.593715	0.586283	-0.0074323
g000145	chr1	84795815	84814823	-	Trip12	0.406285	0.413717	0.0074323
g000146	chr1	86358223	86358567	-	Ncl	0.0341195	0.0314464	-0.00267307
g000146	chr1	86358223	86359206	-	Ncl	0.965881	0.968554	0.00267307
g000147	chr1	86543583	86545702	-	Pde6d	0.955183	0.96397	0.00878605
g000147	chr1	86543583	86546657	-	Pde6d	0.0448165	0.0360305	-0.00878605
g000148	chr1	86543583	86546657	-	Pde6d	0.0417682	0.03327	-0.00849823
g000148	chr1	86545807	86546657	-	Pde6d	0.958232	0.96673	0.00849823
g000149	chr1	91964826	91968338	-	Hdac4	0.649424	0.674423	0.0249995
g000149	chr1	91964826	91968353	-	Hdac4	0.350576	0.325577	-0.0249995
g000150	chr1	91982252	91984378	-	Hdac4	0.468296	0.622864	0.154568
g000150	chr1	91982267	91984378	-	Hdac4	0.531704	0.377136	-0.154568
g000151	chr1	92637403	92639687	-	Cops9	0.991486	0.990656	-0.00082958
g000151	chr1	92637403	92641880	-	Cops9	0.00851393	0.00934351	0.00082958
g000152	chr1	92637403	92641880	-	Cops9	0.015021	0.0150109	-1.01218e-05
g000152	chr1	92639759	92641880	-	Cops9	0.969732	0.973657	0.00392448
g000153	chr1	92639759	92641880	-	Cops9	0.719364	0.747962	0.0285983
g000152	chr1	92641671	92641880	-	Cops9	0.0152466	0.0113322	-0.00391436
g000153	chr1	92639759	92641607	-	Cops9	0.280636	0.252038	-0.0285983
g000154	chr1	93025735	93026832	-	Kif1a	0.302413	0.308855	0.00644203
g000154	chr1	93025735	93034546	-	Kif1a	0.162251	0.160538	-0.00171299
g000154	chr1	93025735	93036846	-	Kif1a	0.535336	0.530607	-0.00472904
g000155	chr1	93025735	93036846	-	Kif1a	0.487229	0.489565	0.00233569
g000155	chr1	93026855	93036846	-	Kif1a	0.345226	0.347624	0.00239817
g000155	chr1	93034572	93036846	-	Kif1a	0.167545	0.162811	-0.00473386
g000156	chr1	93046770	93051403	-	Kif1a	0.0500344	0.0507644	0.000729971
g000156	chr1	93046770	93052424	-	Kif1a	0.949966	0.949236	-0.000729971
g000157	chr1	93046770	93052424	-	Kif1a	0.905596	0.909259	0.00366217
g000157	chr1	93051657	93052424	-	Kif1a	0.0383927	0.0319362	-0.00645645
g000157	chr1	93051681	93052424	-	Kif1a	0.0560108	0.0588051	0.00279428
g000158	chr1	93064282	93065552	-	Kif1a	0.588087	0.545208	-0.0428785
g000158	chr1	93064282	93066047	-	Kif1a	0.411913	0.454792	0.0428785
g000159	chr1	93064282	93066047	-	Kif1a	0.425423	0.463521	0.0380982
g000159	chr1	93065578	93066047	-	Kif1a	0.574577	0.536479	-0.0380982
g000160	chr1	93442250	93445580	-	Hdlbp	0.187102	0.210117	0.0230151
