group_id	chrom	loc	strand	gene_name	structure	llr	p_value	q_value
g000035	chr1	22805561	-	Rims1	o	0.767373	0.674274	1
g000036	chr1	22630480	-	Rims1	i	1.3428	0.261113	0.78513
g000037	chr1	23378972	-	Ogfrl1	o	0.976247	0.376722	0.923037
g000038	chr1	23379058	-	Ogfrl1	i	0.869247	0.419267	0.974746
g000039	chr1	23866297	-	Smap1	i	2.18246	0.112763	0.519205
g000040	chr1	23876374	-	Smap1	o	1.96397	0.140301	0.584391
g000041	chr1	24030742	-	Fam135a	o	0.349685	0.70491	1
g000042	chr1	24053183	-	Fam135a	o	1.55096	0.212044	0.71856
g000043	chr1	25084244	-	Adgrb3	o	0.141452	0.868097	1
g000044	chr1	30831559	-	Phf3	i	3.38383	0.0796841	0.432812
g000045	chr1	30862987	-	Phf3	o	0.86267	0.422034	0.97661
g000046	chr1	30873578	-	Phf3	o	2.4735	0.084289	0.447655
g000047	chr1	33805339	-	Zfp451	o	4.02664	0.0178341	0.193835
g000048	chr1	34819867	-	Fam168b	o	4.0289	0.0177939	0.193598
g000049	chr1	34820009	-	Fam168b	i	0.0241871	0.976103	1
g000050	chr1	34828767	-	Fam168b	o	0.279729	0.755988	1
g000051	chr1	36346029	-	Kansl3	i	2.82972	0.0590292	0.366897
g000052	chr1	36348525	-	Kansl3	o	3.22097	0.0399162	0.297
g000053	chr1	36365652	-	Kansl3	i	0.106818	0.89869	1
g000054	chr1	36424838	-	Lman2l	o	0.467581	0.626516	1
g000055	chr1	36428461	-	Lman2l	i	2.09202	0.123438	0.545439
g000056	chr1	36438750	-	Lman2l	o	1.76704	0.170838	0.643808
g000057	chr1	36439726	-	Lman2l	i	0.404815	0.6671	1
g000058	chr1	36542865	-	Ankrd39	i	0.00612364	0.993895	1
g000059	chr1	36794804	-	Tmem131	o	0.508408	0.601453	1
g000060	chr1	36798942	-	Tmem131	o	0.459344	0.631698	1
g000061	chr1	37496013	-	Mgat4a	i	1.39181	0.248624	0.766484
g000062	chr1	37613337	-	AC140321.1	o	2.39416	0.0912493	0.467397
g000063	chr1	37637861	-	AC140321.1	o	1.72859	0.177535	0.657378
g000064	chr1	37644640	-	AC140321.1	i	0.373357	0.862165	1
g000065	chr1	37718935	-	AC140321.1	o	0.391363	0.676135	1
g000066	chr1	37719570	-	AC140321.1	o	0.622905	0.536384	1
g000067	chr1	37676779	-	AC140321.1	i	0.0612875	0.940553	1
g000068	chr1	37995841	-	Txndc9	i	0.9561	0.590829	1
g000069	chr1	38874040	-	Chst10	i	0.00237663	0.997626	1
g000070	chr1	39555670	-	Rnf149	i	3.51357	0.0297904	0.253013
g000071	chr1	39560693	-	Rnf149	o	3.97552	0.0187695	0.199066
g000072	chr1	42648456	-	Pantr1	i	0.649152	0.522488	1
g000073	chr1	42666841	-	Pantr1	o	0.0561253	0.945421	1
g000074	chr1	42667003	-	Pantr1	i	4.46662	0.0627898	0.378414
g000075	chr1	43075952	-	Tgfbrap1	i	0.0119233	0.988148	1
g000076	chr1	46836151	-	Slc39a10	i	0.0118349	0.999038	1
g000077	chr1	51766908	-	Myo1b	i	2.50506	0.0816703	0.437725
g000078	chr1	51769004	-	Myo1b	o	2.32649	0.0976376	0.481822
g000079	chr1	52188679	-	Gls	o	1.2853	0.276569	0.807599
g000080	chr1	52199887	-	Gls	i	3.95053	0.0192444	0.201463
g000081	chr1	52207301	-	Gls	o	3.07167	0.0463435	0.321199
g000082	chr1	52215694	-	Gls	i	0.0708308	0.931619	1
g000083	chr1	52219943	-	Gls	o	0.00100033	0.999	1
g000084	chr1	52658545	-	Mfsd6	i	2.31425	0.0988406	0.485936
g000085	chr1	52660807	-	Mfsd6	o	2.08296	0.12456	0.54741
g000086	chr1	53346761	-	Asnsd1	i	0.276298	0.758587	1
g000087	chr1	55014562	-	Sf3b1	i	1.35667	0.257518	0.778994
g000088	chr1	55016376	-	Sf3b1	o	2.30826	0.0994346	0.487035
g000089	chr1	55086941	-	Hspd1	i	1.1438	0.318605	0.857301
g000090	chr1	57396796	-	Tyw5	i	4.25493	0.0141941	0.170272
g000091	chr1	58419733	-	Clk1	i	7.08022	0.000841588	0.032324
g000092	chr1	58421083	-	Clk1	o	8.14927	0.000288946	0.0177778
g000093	chr1	58444639	-	Ppil3	i	2.09671	0.241322	0.758693
g000094	chr1	58530259	-	Fam126b	i	0.37495	0.687324	1
g000095	chr1	58535390	-	Fam126b	o	3.32681	0.0359075	0.278306
g000096	chr1	58558057	-	Fam126b	i	0.217305	0.804685	1
g000097	chr1	58904182	-	Trak2	i	1.00834	0.364825	0.91085
g000098	chr1	58908523	-	Trak2	o	0.695879	0.498636	1
g000099	chr1	58906811	-	Trak2	i	0.000527757	0.999472	1
g000100	chr1	58921152	-	Trak2	i	0.911913	0.401755	0.954576
g000101	chr1	59179060	-	Als2	o	0.722165	0.4857	1
g000102	chr1	59655458	-	Sumo1	o	0.242692	0.784513	1
g000103	chr1	59997451	-	Ica1l	o	0.00561458	0.994401	1
g000104	chr1	60022578	-	Ica1l	o	0.769705	0.46315	1
g000105	chr1	60028236	-	Ica1l	i	2.83527	0.0587024	0.366101
g000106	chr1	60042797	-	Ica1l	o	0.0715448	0.930955	1
g000107	chr1	60510491	-	Raph1	i	0.0907673	0.91323	1
g000108	chr1	60525592	-	Raph1	o	0.0170868	0.983058	1
g000109	chr1	63170914	-	Ndufs1	i	0.118888	0.971272	1
g000110	chr1	67038591	-	Lancl1	i	0.937932	0.391436	0.941542
g000111	chr1	71598374	-	Fn1	o	0.0324276	0.968093	1
g000112	chr1	71602497	-	Fn1	i	0.172886	0.841233	1
g000113	chr1	71604970	-	Fn1	o	0.0348905	0.965711	1
g000114	chr1	71612650	-	Fn1	i	0.45354	0.635375	1
g000115	chr1	71615360	-	Fn1	o	0.314173	0.730392	1
g000116	chr1	74284503	-	Aamp	o	0.859521	0.423365	0.97735
g000117	chr1	74585384	-	Zfp142	o	0.105598	0.899786	1
g000118	chr1	74595631	-	Rnf25	o	0.130281	0.877849	1
g000119	chr1	75190877	-	Atg9a	i	0.375941	0.686643	1
g000120	chr1	75191824	-	Atg9a	o	0.0673739	0.934846	1
g000121	chr1	75257424	-	Ptprn	i	0.0305436	0.969918	1
g000122	chr1	75260667	-	Ptprn	i	0.345798	0.707655	1
g000123	chr1	75262323	-	Ptprn	o	0.54765	0.578307	1
g000124	chr1	75262373	-	Ptprn	i	0.451488	0.82471	1
g000125	chr1	75274210	-	Resp18	i	1.3603	0.256584	0.778145
g000126	chr1	75478792	-	Chpf	o	0.79899	0.659848	1
g000127	chr1	75477818	-	Chpf	i	0.411476	0.662672	1
g000128	chr1	77373847	-	Epha4	i	0.106625	0.898863	1
g000129	chr1	78480111	-	Farsb	i	0.00482702	0.995185	1
g000130	chr1	78488785	-	Farsb	o	0.000229871	0.99977	1
g000131	chr1	80304193	-	Cul3	i	0.0656094	0.936497	1
g000132	chr1	80501826	-	Dock10	i	0.0669555	0.935237	1
g000133	chr1	80505325	-	Dock10	o	0.0457622	0.955269	1
g000134	chr1	80526330	-	Dock10	i	0.0467537	0.954322	1
g000135	chr1	80528649	-	Dock10	o	0.166481	0.846639	1
g000136	chr1	80541228	-	Dock10	o	0.157111	0.854609	1
g000137	chr1	83263834	-	Sphkap	i	3.07439	0.0462176	0.320924
g000138	chr1	83267302	-	Sphkap	o	1.98135	0.137882	0.578468
g000139	chr1	83362328	-	Sphkap	i	0.646372	0.523943	1
g000140	chr1	83407980	-	Sphkap	o	0.702563	0.495314	1
g000141	chr1	84747178	-	Trip12	o	1.06607	0.344359	0.889517
g000142	chr1	84760763	-	Trip12	o	2.9286	0.0534716	0.346438
g000143	chr1	84759127	-	Trip12	i	1.22594	0.293482	0.825739
g000144	chr1	84794327	-	Trip12	i	0.0290653	0.971353	1
g000145	chr1	84814823	-	Trip12	o	0.0210514	0.979169	1
g000146	chr1	86358223	-	Ncl	i	0.166821	0.846351	1
g000147	chr1	86543583	-	Pde6d	i	0.721993	0.485783	1
g000148	chr1	86546657	-	Pde6d	o	0.782722	0.45716	1
g000149	chr1	91964826	-	Hdac4	i	0.18509	0.831029	1
g000150	chr1	91984378	-	Hdac4	o	4.33719	0.0130732	0.162197
g000151	chr1	92637403	-	Cops9	i	0.114295	0.891994	1
g000152	chr1	92641880	-	Cops9	o	0.957104	0.590402	1
g000153	chr1	92639759	-	Cops9	i	1.64092	0.193801	0.685048
g000154	chr1	93025735	-	Kif1a	i	0.231845	0.926793	1
g000155	chr1	93036846	-	Kif1a	o	0.266339	0.911656	1
g000156	chr1	93046770	-	Kif1a	i	0.00735386	0.992673	1
g000157	chr1	93052424	-	Kif1a	o	1.12285	0.523004	1
g000158	chr1	93064282	-	Kif1a	i	2.51583	0.0807958	0.434809
g000159	chr1	93066047	-	Kif1a	o	1.76761	0.17074	0.643808
g000160	chr1	93442250	-	Hdlbp	i	2.24608	0.212991	0.720539
g000161	chr1	93798470	-	Dtymk	i	1.00607	0.365655	0.910956
g000162	chr1	93800910	-	Dtymk	i	0.420554	0.656683	1
g000163	chr1	97654689	-	AC099860.1	i	1.94355	0.143194	0.589717
g000164	chr1	97713144	-	Ppip5k2	i	0.0323698	0.968148	1
g000165	chr1	97719834	-	Ppip5k2	o	0.450808	0.637113	1
g000166	chr1	97822989	-	Pam	i	0.285058	0.751971	1
g000167	chr1	97825837	-	Pam	o	0.503633	0.604331	1
g000168	chr1	97831455	-	Pam	o	4.51388	0.0289242	0.249231
g000169	chr1	97853232	-	Pam	i	4.69521	0.00913893	0.128849
g000170	chr1	97884126	-	Pam	o	5.67701	0.00342378	0.0729182
g000171	chr1	118309866	-	Tsn	i	5.67758	0.00342184	0.0729182
g000172	chr1	121306963	-	Insig2	i	0.13824	0.870889	1
g000173	chr1	121319597	-	Insig2	o	0.235766	0.789966	1
g000174	chr1	125910528	-	Lypd1	i	10.1854	0.000142201	0.0112509
g000175	chr1	130698679	-	Pfkfb2	o	3.14939	0.0428781	0.308112
g000176	chr1	131296320	-	Srgap2	o	7.21948	0.000732185	0.0295599
g000177	chr1	131298332	-	Srgap2	o	1.01217	0.363428	0.910695
g000178	chr1	132040540	-	Mfsd4	o	2.71847	0.0659754	0.386916
g000179	chr1	132115952	-	Cdk18	i	5.55329	0.00387469	0.0793436
g000180	chr1	132116596	-	Cdk18	o	4.57487	0.0103076	0.13975
g000181	chr1	132381181	-	Tmcc2	i	0.0839022	0.919521	1
g000182	chr1	132576417	-	Nfasc	i	7.37696	0.00523976	0.0945584
g000183	chr1	132588074	-	Nfasc	o	3.01281	0.0491535	0.331928
g000184	chr1	132593351	-	Nfasc	o	0.665495	0.514019	1
g000185	chr1	132595484	-	Nfasc	o	1.80774	0.164025	0.632823
g000186	chr1	132596648	-	Nfasc	i	0.833691	0.434443	0.989206
g000187	chr1	132601971	-	Nfasc	o	0.0179998	0.982161	1
g000188	chr1	132605585	-	Nfasc	i	6.47135	0.00154714	0.0458377
g000189	chr1	132608383	-	Nfasc	o	4.54641	0.0106052	0.142103
g000190	chr1	132621623	-	Nfasc	i	0.0757014	0.927093	1
g000191	chr1	132631685	-	Nfasc	o	0.220102	0.802437	1
g000192	chr1	132637091	-	Nfasc	i	1.44579	0.235559	0.750777
g000193	chr1	132642678	-	Nfasc	o	2.28329	0.101948	0.493376
g000194	chr1	132665587	-	Nfasc	i	0.0152143	0.984901	1
g000195	chr1	133018777	-	Mdm4	o	0.0665072	0.935656	1
g000196	chr1	133638533	-	Zc3h11a	o	0.0951352	0.90925	1
g000197	chr1	133654032	-	Zc3h11a	i	0.0102567	0.989796	1
g000198	chr1	133655345	-	Zc3h11a	o	0.443307	0.64191	1
g000199	chr1	133661237	-	Zc3h11a	o	0.0484731	0.952683	1
g000200	chr1	133706996	-	Atp2b4	i	0.392944	0.852839	1
g000201	chr1	133715054	-	Atp2b4	o	0.305269	0.736925	1
g000202	chr1	133735209	-	Atp2b4	i	0.14854	0.861965	1
g000203	chr1	134203590	-	Adora1	i	0.00735983	0.992667	1
g000204	chr1	134235228	-	Adora1	o	1.16468	0.675428	1
g000205	chr1	134298828	-	Ppfia4	i	0.393847	0.674457	1
g000206	chr1	134299291	-	Ppfia4	o	2.49626	0.082393	0.440097
g000207	chr1	134332928	-	Ppfia4	i	1.26631	0.28187	0.814535
g000208	chr1	134352435	-	Tmem183a	i	1.35977	0.256719	0.778145
g000209	chr1	134354661	-	Tmem183a	o	0.156052	0.855515	1
g000210	chr1	134360757	-	Tmem183a	o	0.166257	0.846829	1
g000211	chr1	134760495	-	Ppp1r12b	i	2.16454	0.114803	0.524918
g000212	chr1	134771998	-	Ppp1r12b	o	0.849734	0.427529	0.981246
g000213	chr1	135372364	-	Shisa4	i	1.90377	0.149006	0.602914
g000214	chr1	135374378	-	Shisa4	o	1.64635	0.192751	0.684507
g000215	chr1	135420353	-	Ipo9	i	3.12286	0.0440308	0.312802
g000216	chr1	135430268	-	Ipo9	o	0.331022	0.718189	1
g000217	chr1	136276538	-	Camsap2	o	3.43165	0.0323336	0.263989
g000218	chr1	136293421	-	Camsap2	i	3.13927	0.0433144	0.309639
g000219	chr1	136297742	-	Camsap2	o	4.19384	0.0150882	0.176476
g000220	chr1	138832702	-	Lhx9	o	2.00059	0.135255	0.5741
g000221	chr1	138853672	-	RP24-214P19.2	i	0.794198	0.451944	1
g000222	chr1	139884107	-	.	o	2.03006	0.131327	0.564878
g000223	chr1	140112433	-	Cfh	o	1.47286	0.229269	0.743856
g000224	chr1	150390236	-	AC121113.1	o	0.374463	0.687658	1
g000225	chr1	151250559	-	.	o	5.09669	0.00611698	0.102052
g000226	chr1	152586615	-	Rgl1	i	0.535453	0.585404	1
g000227	chr1	152674860	-	Rgl1	o	0.00150761	0.998494	1
g000228	chr1	152623928	-	Rgl1	i	3.83033	0.0217026	0.215337
g000229	chr1	152765907	-	Rgl1	o	1.15184	0.316053	0.855065
g000230	chr1	152841593	-	Smg7	i	0.432751	0.648722	1
g000231	chr1	152844036	-	Smg7	o	0.00149166	0.998509	1
g000232	chr1	152846263	-	Smg7	i	0.069011	0.933316	1
g000233	chr1	152870791	-	Smg7	i	0.587638	0.555638	1
g000234	chr1	152902509	-	Smg7	o	1.6582	0.190482	0.680035
g000235	chr1	153475709	-	Dhx9	i	1.29825	0.273009	0.802417
g000236	chr1	153478041	-	Dhx9	o	4.09968	0.016578	0.185998
g000237	chr1	153481132	-	Dhx9	o	0.0756721	0.92712	1
g000238	chr1	154403858	-	Cacna1e	i	0.260928	0.770336	1
g000239	chr1	154486707	-	Cacna1e	i	0.63632	0.529236	1
g000240	chr1	154488785	-	Cacna1e	o	0.69745	0.497853	1
g000241	chr1	156022300	-	Tor1aip1	o	0.163624	0.849061	1
g000242	chr1	156706167	-	Fam20b	i	0.286849	0.750625	1
g000243	chr1	156718866	-	Fam20b	o	0.0757933	0.927008	1
g000244	chr1	156888030	-	Ralgps2	i	0.0113908	0.988674	1
g000245	chr1	156900586	-	Ralgps2	o	0.441849	0.642847	1
g000246	chr1	157140875	-	Rasal2	i	1.69137	0.184266	0.669575
g000247	chr1	157146190	-	Rasal2	o	0.490572	0.612276	1
g000248	chr1	160257443	-	Rabgap1l	o	1.30688	0.270663	0.799185
g000249	chr1	160342164	-	Rabgap1l	i	0.738796	0.477689	1
g000250	chr1	161244342	-	Prdx6	i	0.196297	0.821768	1
g000251	chr1	161251022	-	Prdx6	o	0.567941	0.76842	1
g000252	chr1	161247413	-	Prdx6	i	0.255757	0.77433	1
g000253	chr1	161827657	-	Suco	o	0.0418079	0.959054	1
g000254	chr1	161853715	-	Suco	o	0.0225568	0.977696	1
g000255	chr1	162010868	-	Dnm3	o	2.89926	0.0550638	0.352456
g000256	chr1	162231767	-	Dnm3	i	0.716646	0.488388	1
g000257	chr1	162274488	-	Dnm3	o	2.26358	0.103977	0.499746
g000258	chr1	162673656	-	Prrc2c	i	5.08283	0.00620236	0.102801
g000259	chr1	162675605	-	Prrc2c	o	10.5428	2.63829e-05	0.00380198
g000260	chr1	162674151	-	Prrc2c	i	0.0201499	0.980052	1
g000261	chr1	162676691	-	Prrc2c	o	3.72727	0.0240583	0.224994
g000262	chr1	162678228	-	Prrc2c	i	0.281768	0.754449	1
g000263	chr1	162720606	-	Prrc2c	i	0.259324	0.771573	1
g000264	chr1	162724704	-	Prrc2c	o	0.139118	0.870125	1
g000265	chr1	162859562	-	Fmo1	i	0.564649	0.56856	1
g000266	chr1	165228447	-	Tiprl	i	0.0882533	0.915529	1
g000267	chr1	165357546	-	Dcaf6	i	1.40015	0.24656	0.764451
g000268	chr1	165388658	-	Dcaf6	o	0.376265	0.68642	1
g000269	chr1	165429315	-	Dcaf6	i	2.81983	0.0596161	0.368647
g000270	chr1	165593677	-	Mpzl1	i	0.862884	0.421943	0.97661
g000271	chr1	165604610	-	Mpzl1	o	0.0581459	0.943512	1
g000272	chr1	168183530	-	Pbx1	o	1.35416	0.258165	0.780055
g000273	chr1	168183619	-	Pbx1	i	7.98931	0.000339069	0.0193877
g000274	chr1	168191278	-	Pbx1	o	13.1811	1.88595e-06	0.000566916
g000275	chr1	170143463	-	Uap1	i	8.24434	0.000262741	0.0165527
g000276	chr1	170149271	-	Uap1	o	2.293	0.100964	0.491572
g000277	chr1	170320587	-	Nos1ap	i	0.159583	0.852499	1
g000278	chr1	170390731	-	Nos1ap	o	1.86433	0.155001	0.614686
g000279	chr1	170788608	-	Atf6	o	0.692775	0.500186	1
g000280	chr1	170855189	-	Atf6	i	0.0276225	0.972756	1
g000281	chr1	170885067	-	Dusp12	o	0.455203	0.634319	1
g000282	chr1	171058586	-	Fcgr3	o	1.56407	0.209283	0.71458
g000283	chr1	171129905	-	Sdhc	i	0.21521	0.806372	1
g000284	chr1	171138694	-	Sdhc	o	0.254707	0.775143	1
g000285	chr1	171345000	-	Nit1	i	1.15994	0.508723	1
g000286	chr1	172200408	-	Pea15a	o	0.00654903	0.993472	1
g000287	chr1	172199266	-	Pea15a	i	0.0460071	0.955035	1
g000288	chr1	172329135	-	Kcnj9	o	2.62926	0.0721315	0.408325
g000289	chr1	173346562	-	Cadm3	i	4.6017	0.0100347	0.136756
g000290	chr1	173367413	-	Cadm3	o	9.47969	7.63875e-05	0.00787915
g000291	chr1	175059794	-	Rgs7	i	6.19391	0.00616614	0.102486
g000292	chr1	175078189	-	Rgs7	o	6.26795	0.00575572	0.0989301
g000293	chr1	176740089	-	Cep170	i	6.01943	0.00725125	0.11121
g000294	chr1	176755166	-	Cep170	o	0.0284288	0.971971	1
g000295	chr1	176758517	-	Cep170	i	0.164878	0.847997	1
g000296	chr1	176769713	-	Cep170	o	0.306334	0.893526	1
g000297	chr1	176761500	-	Cep170	i	0.250741	0.778224	1
g000298	chr1	177131096	-	Akt3	i	0.0142873	0.985814	1
g000299	chr1	177248676	-	Akt3	o	0.0168924	0.983249	1
g000300	chr1	180442544	-	AC121838.2	o	4.97856	0.00688397	0.10826
g000301	chr1	181181304	-	Wdr26	o	2.37511	0.0930041	0.471564
g000302	chr1	181203160	-	Wdr26	i	3.14608	0.0430202	0.308499
g000303	chr1	181908376	-	Enah	i	1.51597	0.219596	0.729973
g000304	chr1	181913307	-	Enah	o	0.561889	0.570131	1
g000305	chr1	181923560	-	Enah	o	4.32274	0.0132635	0.163785
g000306	chr1	181956394	-	Enah	o	4.86897	0.0209302	0.210926
g000307	chr1	182276893	-	Degs1	i	0.0866366	0.91701	1
g000308	chr1	182278976	-	Degs1	o	0.0433195	0.957605	1
g000309	chr1	183294864	-	Brox	i	0.217335	0.80466	1
g000310	chr1	183329991	-	Mia3	i	2.67877	0.0686479	0.39712
g000311	chr1	183331092	-	Mia3	o	1.60014	0.201868	0.702102
g000312	chr1	183344385	-	Mia3	i	3.25366	0.0386327	0.290118
g000313	chr1	184907083	-	Mark1	o	0.853942	0.425733	0.980431
g000314	chr1	186632458	-	Tgfb2	o	3.6684	0.0255173	0.233247
g000315	chr1	186649898	-	Tgfb2	i	0.747279	0.473653	1
g000316	chr1	186704429	-	Tgfb2	o	0.000808474	0.999192	1
g000317	chr1	189258898	-	Kcnk2	i	0.0593898	0.942339	1
g000318	chr1	189339785	-	Kcnk2	o	0.127161	0.880592	1
g000319	chr1	189340095	-	Kcnk2	i	0.992774	0.370547	0.916223
g000320	chr1	189897483	-	Smyd2	i	3.65531	0.0258534	0.234082
g000321	chr1	189909851	-	Smyd2	o	3.5057	0.0300257	0.253735
g000322	chr1	190146952	-	Prox1	o	0.239036	0.787386	1
g000323	chr1	190162313	-	Prox1	i	0.222328	0.800653	1
g000324	chr1	191052860	-	Tatdn3	o	0.53138	0.587793	1
g000325	chr1	192101155	-	Rcor3	i	3.85602	0.021152	0.21154
g000326	chr1	192116269	-	Rcor3	o	7.06314	0.00273821	0.0633255
g000327	chr1	192101867	-	Rcor3	i	2.30036	0.100222	0.490052
g000328	chr1	192137433	-	Rcor3	o	0.95816	0.383598	0.931665
g000329	chr1	192897620	-	Syt14	i	0.138105	0.871007	1
g000330	chr1	192901752	-	Syt14	o	0.0102103	0.989842	1
g000331	chr1	195111080	-	Cr1l	o	3.38222	0.0339718	0.270361
g000332	chr1	195130009	-	Cr1l	i	0.217051	0.804889	1
g000333	chr1	4886831	+	Tcea1	i	0.703346	0.494927	1
g000334	chr1	5084417	+	Atp6v1h	o	4.19357	0.0150923	0.176476
g000335	chr1	5089111	+	Atp6v1h	i	1.21119	0.297843	0.829435
g000336	chr1	5095615	+	Atp6v1h	o	1.48985	0.394764	0.94587
g000337	chr1	5098133	+	Atp6v1h	i	4.70052	0.00909057	0.128403
g000338	chr1	5117390	+	Atp6v1h	o	3.91706	0.0198996	0.204457
g000339	chr1	6265621	+	Rb1cc1	i	0.373726	0.688165	1
g000340	chr1	6268698	+	Rb1cc1	o	0.261048	0.770244	1
g000341	chr1	6752994	+	St18	o	3.05579	0.0470857	0.324845
g000342	chr1	7169515	+	Pcmtd1	o	0.249002	0.779579	1
g000343	chr1	9549944	+	Adhfe1	i	1.66636	0.188933	0.678093
g000344	chr1	9552923	+	Adhfe1	o	1.26057	0.283491	0.816664
g000345	chr1	11414637	+	AC103635.1	i	0.394423	0.674069	1
g000346	chr1	11518578	+	AC103635.1	o	0.220453	0.802155	1
g000347	chr1	11518709	+	AC103635.1	i	0.00572974	0.994287	1
g000348	chr1	11562963	+	AC103635.1	o	0.00962143	0.990425	1
g000349	chr1	11596151	+	AC103635.1	o	0.184144	0.831816	1
g000350	chr1	15831566	+	Terf1	i	2.13447	0.118307	0.533979
g000351	chr1	15838182	+	Terf1	o	1.21681	0.296174	0.826949
g000352	chr1	16665505	+	Tmem70	i	0.0852928	0.918243	1
g000353	chr1	21226679	+	Tmem14a	i	0.162307	0.85018	1
g000354	chr1	24685397	+	Lmbrd1	o	1.00002	0.367871	0.913151
g000355	chr1	24711600	+	Lmbrd1	i	0.00369743	0.996309	1
g000356	chr1	34249638	+	Dst	i	3.29601	0.0370307	0.283346
g000357	chr1	34299838	+	Dst	i	0.723095	0.485248	1
g000358	chr1	34302830	+	Dst	o	2.43006	0.0880319	0.458838
g000359	chr1	34303032	+	Dst	i	0.331684	0.717714	1
g000360	chr1	34306528	+	Dst	o	0.357355	0.699524	1
g000361	chr1	34793226	+	Arhgef4	o	5.68829	0.00338538	0.0726529
g000362	chr1	34804914	+	Arhgef4	o	0.0467754	0.954302	1
g000363	chr1	34811086	+	Arhgef4	o	0.00345521	0.996551	1
g000364	chr1	34850063	+	Plekhb2	i	1.93955	0.143769	0.590858
g000365	chr1	34861873	+	Plekhb2	o	1.14525	0.318144	0.856937
g000366	chr1	36521839	+	Cnnm3	i	6.21305	0.00200311	0.0533752
g000367	chr1	36525166	+	Cnnm3	o	6.99635	0.00091522	0.0333185
g000368	chr1	36692211	+	Cox5b	o	0.895914	0.408234	0.962365
g000369	chr1	37100826	+	Vwa3b	i	0.167154	0.846069	1
g000370	chr1	37372419	+	Inpp4a	i	0.354899	0.701244	1
g000371	chr1	37377578	+	Inpp4a	o	1.02195	0.359893	0.907148
g000372	chr1	37383339	+	Inpp4a	o	0.232145	0.792831	1
g000373	chr1	37398920	+	Inpp4a	i	2.06	0.127454	0.555026
g000374	chr1	37431293	+	Unc50	o	3.1439	0.0984179	0.484991
g000375	chr1	37890584	+	Mrpl30	i	0.0271736	0.973192	1
g000376	chr1	37893939	+	Mrpl30	o	2.41819	0.0890827	0.460863
g000377	chr1	39999974	+	Map4k4	i	0.311806	0.732124	1
g000378	chr1	40000749	+	Map4k4	i	2.24075	0.213947	0.721891
g000379	chr1	40003757	+	Map4k4	o	0.0288523	0.97156	1
g000380	chr1	40004807	+	Map4k4	o	4.43368	0.0311074	0.259335
g000381	chr1	40001591	+	Map4k4	i	1.10164	0.332326	0.874757
g000382	chr1	40004913	+	Map4k4	i	1.25955	0.283781	0.816664
g000383	chr1	40010677	+	Map4k4	i	0.0637936	0.938199	1
g000384	chr1	40014106	+	Map4k4	o	0.0839823	0.919448	1
g000385	chr1	43983592	+	Tpp2	i	3.90221	0.0201973	0.206417
g000386	chr1	43990511	+	Tpp2	o	5.1945	0.00554701	0.0974983
g000387	chr1	52122591	+	Stat1	o	0.569095	0.566038	1
g000388	chr1	53321210	+	Osgepl1	i	2.7356	0.0648552	0.383123
