cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_1235_NA	Success	0.373113264507197	1	0.387673570116478	0.715764704552443	Map4k4
chr1:clu_1236_NA	Success	1.14644064661104	1	0.129968452990941	0.458251521041883	Map4k4
chr1:clu_1237_NA	Success	2.87704067655724	1	0.0164503950852805	0.154417690052603	Map4k4
chr1:clu_1238_NA	Success	0.401313661046515	2	0.669440050836722	0.87481954508612	Map4k4
chr1:clu_1239_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Il1r1
chr1:clu_1240_NA	Success	2.53924154922788	8	0.749155768819986	0.91142896479022	Pantr1
chr1:clu_1241_NA	Success	6.01744115248948	6	0.0611951319242231	0.3197156986758	Pantr1
chr1:clu_1242_NA	Success	4.64784677629541	6	0.157618641298414	0.497232717465461	RP23-114H2.1
chr1:clu_1243_NA	Not enough valid samples	NA	NA	NA	NA	Gpr45
chr1:clu_1244_NA	Success	0.120727628894173	1	0.623157021079233	0.855032774191672	Tgfbrap1
chr1:clu_1245_NA	Not enough valid samples	NA	NA	NA	NA	Nck2
chr1:clu_1246_NA	Success	2.63112498292003	1	0.0217928279576206	0.181181135967154	Uxs1
chr1:clu_1247_NA	Success	1.0017940746859	1	0.15692734061558	0.497232717465461	Tpp2
chr1:clu_1248_NA	Success	8.73634861790674	2	0.000160639374076161	0.00712458425139498	Tpp2
chr1:clu_1249_NA	Success	1.86192153250886e-07	1	0.999513104546117	0.999973435974065	Tpp2
chr1:clu_1250_NA	Not enough valid samples	NA	NA	NA	NA	Tex30,RP24-343K18.1
chr1:clu_1251_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Bivm
chr1:clu_1252_NA	Success	3.4697843879224	1	0.00843094360527893	0.101719577098923	Bivm
chr1:clu_1253_NA	Success	0.214623393554803	1	0.512358769925627	0.797754393282864	Bivm
chr1:clu_1254_NA	Success	0.103035979186359	1	0.649863739863816	0.866719668377686	Ercc5
chr1:clu_1255_NA	Success	1.15723927924682	3	0.509752875569158	0.796880276103539	Slc39a10
chr1:clu_1256_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_1257_NA	Success	0.246655524455491	2	0.781409823748846	0.924865912357579	Tmeff2
chr1:clu_1258_NA	Not enough valid samples	NA	NA	NA	NA	Nabp1
chr1:clu_1259_NA	Success	3.51624706533295	2	0.0297107286221639	0.21836498355613	Myo1b
chr1:clu_1260_NA	Not enough valid samples	NA	NA	NA	NA	RP24-194N4.4,Stat1
chr1:clu_1261_NA	Success	0.368170887667674	1	0.39083526385414	0.717892434900241	RP24-194N4.4,Stat1
chr1:clu_1262_NA	Success	2.5172934952061	2	0.0806776660170314	0.365624316204844	Gls
chr1:clu_1263_NA	Success	2.66407110584214	1	0.0209837408271922	0.177823958226458	Gls
chr1:clu_1264_NA	Success	1.50288085350985	2	0.222488279868871	0.576320203245506	Gls
chr1:clu_1265_NA	Success	0.890475972987247	1	0.182032476394654	0.530546653979882	Nab1
chr1:clu_1266_NA	Success	3.95704596974474	2	0.0191195105651268	0.168470723165747	Mfsd6
chr1:clu_1267_NA	Success	0.00408151917767441	1	0.928009458363758	0.973964458498671	Mfsd6
chr1:clu_1268_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AC129337.1
chr1:clu_1269_NA	Success	0.110318553912151	1	0.638554902406563	0.862645229450304	RP24-93I18.2,Osgepl1
chr1:clu_1270_NA	Success	5.04229477054128	2	0.00645890958361426	0.0848500606436105	Osgepl1
chr1:clu_1271_NA	Success	0.311294897943981	1	0.430086526653872	0.744900448665877	RP24-93I18.4,Asnsd1
chr1:clu_1272_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Ankrd44
chr1:clu_1273_NA	Success	3.46468542419564	2	0.0312828447046872	0.224992719447478	Sf3b1
chr1:clu_1274_NA	Success	2.33312310772521	2	0.0969923559982987	0.396562323749412	Hspd1
chr1:clu_1275_NA	Success	0.572502082323354	2	0.564112216232717	0.826056810633473	Rftn2
chr1:clu_1276_NA	Success	0.211032149215498	4	0.980630901573246	0.995533201140083	Rftn2
chr1:clu_1277_NA	Success	0.291497749223765	2	0.747143695254351	0.910521984173479	RP23-130K20.1
chr1:clu_1278_NA	Success	2.18247590070553	2	0.112761997226269	0.42553997868019	RP23-130K20.1
chr1:clu_1279_NA	Success	1.16264409306177	4	0.676168818351251	0.878855319523465	RP24-77I21.3,Maip1
chr1:clu_1280_NA	Success	0.940232494495859	1	0.170281308120136	0.51534371317636	Tyw5
chr1:clu_1281_NA	Success	3.86971795717386	1	0.00540276755339711	0.075060520291777	Tyw5
chr1:clu_1282_NA	Success	1.51615622814091	2	0.219554183308998	0.572742290644691	Spats2l
chr1:clu_1283_NA	Success	0.192473538282457	1	0.534967464060652	0.810524110207762	Spats2l
chr1:clu_1284_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Kctd18
chr1:clu_1285_NA	Success	0.66648374766919	2	0.513511041367121	0.798129949742637	Bzw1
chr1:clu_1286_NA	Success	11.6189590744864	2	8.99394419356673e-06	0.000873832683227589	Clk1
chr1:clu_1287_NA	Success	2.50723279353224	2	0.0814934366783425	0.367666519205426	Ppil3
chr1:clu_1288_NA	Success	3.78569100572724	5	0.181493409796964	0.529981810416867	Ppil3
chr1:clu_1289_NA	Success	0.0991748910460615	1	0.656056164491128	0.867955214735183	Orc2
chr1:clu_1290_NA	Success	4.41830595605188	3	0.0315439751298632	0.226032832003909	Fam126b
chr1:clu_1291_NA	Success	0.0191066736869629	1	0.845015357378967	0.949228204698726	Fam126b
chr1:clu_1292_NA	Success	0.82909002277907	1	0.197849229694435	0.547085899899453	Fam126b
chr1:clu_1293_NA	Success	1.22165531386599	3	0.485623286308183	0.781021675412767	Ndufb3
chr1:clu_1294_NA	Success	1.41440640552173	4	0.586869416248333	0.836155947314236	Trak2
chr1:clu_1295_NA	Success	1.05713833615869	1	0.145930988740324	0.481652782235571	Trak2
chr1:clu_1296_NA	Success	3.18880452080447	2	0.0412211204867559	0.260698859918059	Trak2
chr1:clu_1297_NA	Success	0.089226060047622	2	0.914638786914505	0.96965201281142	Trak2
chr1:clu_1298_NA	Success	1.91641925319476	2	0.14713286554319	0.483717310405573	Trak2
chr1:clu_1299_NA	Success	4.59389838362358	2	0.0101133556848995	0.113952723871767	Stradb
chr1:clu_1300_NA	Success	1.3590249844143	2	0.256911147248958	0.609812182402693	Tmem237
chr1:clu_1301_NA	Success	0.571958541132801	1	0.284826147296054	0.633862649678742	Als2
chr1:clu_1302_NA	Not enough valid samples	NA	NA	NA	NA	RP24-147G7.1
chr1:clu_1303_NA	Not enough valid samples	NA	NA	NA	NA	RP24-147G7.1
chr1:clu_1304_NA	Success	0.430519554288253	1	0.353448067755568	0.687524575655426	Sumo1
chr1:clu_1305_NA	Success	3.48100109011239	2	0.0307765854703352	0.223236058067736	Nop58
chr1:clu_1306_NA	Success	2.07249994360427	1	0.0417576580765258	0.261156307654206	Bmpr2
chr1:clu_1307_NA	Success	0.545879718978995	3	0.779063751441546	0.924559103285821	Ica1l
chr1:clu_1308_NA	Success	1.01821803757866	1	0.153569080930021	0.493166465752657	Ica1l
chr1:clu_1309_NA	Success	0.281871391242646	1	0.452756137191825	0.759903535307959	Ica1l
chr1:clu_1310_NA	Success	7.19709831473608	3	0.0024148523011293	0.0438473837496855	Ica1l
chr1:clu_1311_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Carf
chr1:clu_1312_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Carf
chr1:clu_1313_NA	Not enough valid samples	NA	NA	NA	NA	Carf
chr1:clu_1314_NA	Success	1.04348893795247	2	0.352223649251529	0.68707804492954	Cyp20a1
chr1:clu_1315_NA	Success	2.26210388583968	2	0.104131174030784	0.410237496623358	Abi2
chr1:clu_1316_NA	Success	18.369736679836	4	2.0382077223672e-07	4.42650759469395e-05	Abi2
chr1:clu_1317_NA	Success	0.102131630883378	2	0.902910692914188	0.964195799722092	Abi2
chr1:clu_1318_NA	Success	0.861874531988178	2	0.422369594462236	0.7384295601564	Abi2
chr1:clu_1319_NA	Success	0.909960726002964	4	0.768835653825316	0.920683169989569	Raph1
chr1:clu_1320_NA	Success	1.06386437338915	4	0.71227996292788	0.895024675961593	Nrp2
chr1:clu_1321_NA	Success	0.220728915988673	1	0.506419659978037	0.795553597825199	Eef1b2
chr1:clu_1322_NA	Success	2.33558013646143	4	0.322731839689493	0.663926050594507	Ndufs1
chr1:clu_1323_NA	Not enough valid samples	NA	NA	NA	NA	Zdbf2
chr1:clu_1324_NA	Success	4.14059486569158	2	0.0159133823631524	0.151293238673198	Adam23
chr1:clu_1325_NA	Success	3.65387641210782	3	0.0627094010058166	0.321894429184769	Creb1
chr1:clu_1326_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Plekhm3
chr1:clu_1327_NA	Success	4.25203325468033	2	0.0142352605537292	0.141407843850318	RP23-348D4.2,AC101869.3,Cryga
chr1:clu_1328_NA	Success	0.676519253756766	1	0.244747622463872	0.598223337329932	RP23-348D4.2,AC101869.3
chr1:clu_1329_NA	Success	1.59387598864265	1	0.0741919732376077	0.348938554386303	AC101869.3
chr1:clu_1330_NA	Success	2.55690045430765	5	0.402150358525116	0.72478614511238	Idh1
chr1:clu_1331_NA	Success	3.13267753052355	3	0.0993901282013172	0.400464719611479	Pikfyve
chr1:clu_1332_NA	Success	0.564054439166625	2	0.568897820012891	0.827429767118155	Pikfyve
chr1:clu_1333_NA	Success	4.17860025332027	2	0.0153199365960044	0.147616889659704	Pikfyve
chr1:clu_1334_NA	Success	0.139565845550578	2	0.869735753089408	0.956108196649596	Map2
chr1:clu_1335_NA	Success	1.03825988853532	1	0.149580881659895	0.487568524209828	Map2
chr1:clu_1336_NA	Success	8.60412990736222	8	0.0280120854883654	0.211704449162355	Map2
chr1:clu_1337_NA	Success	0.197917546835015	1	0.529248064878134	0.807653839431002	Map2
chr1:clu_1338_NA	Success	3.42711514160328	6	0.334538645417151	0.672281060937448	Map2
chr1:clu_1339_NA	Success	1.77484258469985	1	0.0595567492680224	0.314868999948743	Map2
chr1:clu_1340_NA	Success	0.68555374189873	2	0.503811170964323	0.794336303146027	Map2
chr1:clu_1341_NA	Success	0.00468587619718619	1	0.92287902028483	0.97155998425174	Unc80
chr1:clu_1342_NA	Success	0.0139225229772819	1	0.867473637633149	0.955265215283973	Unc80
chr1:clu_1343_NA	Success	1.87750702302765	2	0.152970983939753	0.49267421288651	Unc80
chr1:clu_1344_NA	Success	0.00931839443114768	1	0.89141288285068	0.962145045144498	Unc80
chr1:clu_1345_NA	Success	0.536396274828803	2	0.584852105496903	0.835632342683655	Unc80
chr1:clu_1346_NA	Success	0.452773140881618	2	0.635862368441621	0.861654086894518	Unc80
chr1:clu_1347_NA	Success	1.81111651253696	2	0.16347151687493	0.505527539344576	Unc80
chr1:clu_1348_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Rpe
chr1:clu_1349_NA	Success	0.379631470402728	2	0.684113478826787	0.882469368569627	Rpe
chr1:clu_1350_NA	Success	0.421648623253759	2	0.655964489571649	0.867955214735183	Rpe
chr1:clu_1351_NA	Not enough valid samples	NA	NA	NA	NA	Kansl1l
chr1:clu_1352_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Kansl1l
chr1:clu_1353_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Kansl1l
chr1:clu_1354_NA	Success	1.29683915274276	1	0.107290908840878	0.415944356986155	Lancl1
chr1:clu_1355_NA	Success	0.604295397022213	2	0.546459327892173	0.818248413645222	Erbb4
chr1:clu_1356_NA	Not enough valid samples	NA	NA	NA	NA	Erbb4
chr1:clu_1357_NA	Not enough valid samples	NA	NA	NA	NA	Erbb4
chr1:clu_1358_NA	Success	1.70607001735726	2	0.181577990588962	0.530089041582326	Fn1
chr1:clu_1359_NA	Success	0.592423464729677	2	0.552985518629374	0.821620829078904	Fn1
chr1:clu_1360_NA	Success	1.00164536023976	2	0.367274644656425	0.699581694926144	Fn1
chr1:clu_1361_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	D230017M19Rik
chr1:clu_1362_NA	Success	1.65028107676801	2	0.191995935438801	0.542901960919113	Pecr
chr1:clu_1363_NA	Success	1.14431888325305	3	0.514701103356102	0.798611950735981	Tmem169
chr1:clu_1364_NA	Not enough valid samples	NA	NA	NA	NA	Xrcc5
chr1:clu_1365_NA	Success	4.32165686038707	4	0.0706602452932707	0.340124891304792	Smarcal1
chr1:clu_1366_NA	Not enough valid samples	NA	NA	NA	NA	Tns1
chr1:clu_1367_NA	Not enough valid samples	NA	NA	NA	NA	Tns1
chr1:clu_1368_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Tns1
chr1:clu_1369_NA	Success	0.551672981384229	1	0.293532976248337	0.642016438571599	Arpc2
chr1:clu_1370_NA	Success	4.43137775883201	2	0.0118980856823802	0.125867427906441	Aamp
chr1:clu_1371_NA	Success	0.730100663101439	2	0.481860482078173	0.779333803790672	Pnkd
chr1:clu_1372_NA	Success	1.38439642885976	2	0.250474933618386	0.603536470374247	Usp37
chr1:clu_1373_NA	Success	1.73409705753835	1	0.0625595739513756	0.321834575515762	Plcd4
chr1:clu_1374_NA	Success	0.129410673086028	1	0.61093106439315	0.847529116886088	Plcd4
chr1:clu_1375_NA	Success	2.76738603277659	4	0.236689853043325	0.590239643720566	Bcs1l
chr1:clu_1376_NA	Success	0.605838496641127	2	0.545616736979604	0.817871292297482	Bcs1l
chr1:clu_1377_NA	Success	0.11602493094324	1	0.630008034895781	0.858721264398926	Rnf25
chr1:clu_1378_NA	Success	0.331120330556701	1	0.415770018423561	0.734236819919106	Cnppd1
chr1:clu_1379_NA	Success	0.995988037691404	1	0.158134416589221	0.497317307450929	Fam134a
chr1:clu_1380_NA	Success	0.000352505700988104	1	0.978817017674582	0.994986902327797	Fam134a
